# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N)
61.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
61.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
62.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
62.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
63.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
63.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
64.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
64.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
65.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
65.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
66.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
66.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
67.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
67.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
68.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
68.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
69.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
69.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
70.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
70.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
71.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
71.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
72.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
72.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
73.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
73.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
74.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
74.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
75.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
75.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
76.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
76.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
77.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
77.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
78.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
78.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
79.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
79.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
80.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
80.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
81.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
81.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
82.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
82.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
83.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
83.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
84.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
84.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
85.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
85.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
86.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
86.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
87.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
87.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
88.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
88.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
89.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
89.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
90.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
90.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
91.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
91.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
92.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
92.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
93.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
93.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
94.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
94.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
95.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
95.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
96.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
96.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
97.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
97.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
98.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
98.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
99.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
99.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
100.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
100.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
101.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
101.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
102.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
102.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
103.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
103.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
104.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
104.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
105.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
105.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
106.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
106.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
107.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
107.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
108.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
108.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
109.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
109.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
110.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
110.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
111.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
111.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
112.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
112.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
113.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
113.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
114.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
114.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
115.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
115.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
116.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
116.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
117.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
117.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
118.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
118.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
119.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
119.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
120.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
120.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
121.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
121.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
122.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
122.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
123.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
123.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
124.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
124.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
125.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
125.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
126.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
126.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.263,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.264,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.265,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.266,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.267,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.268,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.269,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.27,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.271,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.272,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.273,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.274,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.275,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.276,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.277,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.278,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.279,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.28,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.281,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.282,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.283,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.284,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.285,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.286,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.287,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.288,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.289,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.29,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.291,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.292,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.293,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.294,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.295,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.296,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.297,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.298,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.299,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.3,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.301,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.302,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.303,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.304,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.305,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.306,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.307,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.308,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.309,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.31,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.311,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.312,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.313,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.314,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.315,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.316,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.317,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.318,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.319,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.32,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.321,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.322,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.323,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.324,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.325,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.326,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.327,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.328,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.329,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.33,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.331,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.332,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.333,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.334,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.335,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.336,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.337,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.338,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.339,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.34,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.341,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.342,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.343,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.344,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.345,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.346,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.347,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.348,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.349,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.35,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.351,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.352,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.353,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.354,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.355,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.356,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.357,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.358,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.359,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.36,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.361,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.362,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.363,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.364,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.365,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.366,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.367,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.368,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.369,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.37,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.371,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.372,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.373,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.374,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.375,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.376,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.377,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.378,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.379,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.38,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.381,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.382,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.383,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.384,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.385,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.386,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.387,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.388,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.389,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.39,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.391,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.392,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.393,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.394,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.395,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.396,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.397,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.398,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.399,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.4,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.401,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.402,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.403,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.404,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.405,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.406,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.407,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.409,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.41,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.411,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.412,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.413,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.415,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.416,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.417,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.419,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.42,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.421,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.423,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.424,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.426,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.427,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.428,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.43,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.432,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.433,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.435,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.436,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.438,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.44,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.442,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.443,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.445,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.447,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.449,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.451,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.453,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.455,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.457,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.459,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.461,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.463,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.466,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.468,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.47,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.473,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.475,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.478,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.48,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.483,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.486,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.489,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.492,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.495,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.498,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.501,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.504,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.508,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.511,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.515,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.519,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.522,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.526,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.531,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.535,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.539,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.544,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.549,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.554,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.559,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.564,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.57,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.576,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.582,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.589,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.595,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.603,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.61,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.618,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.626,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.635,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.645,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.654,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.665,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.676,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.689,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.702,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.716,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.731,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.748,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.766,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.786,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.808,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.833,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.861,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.892,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.927,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
127.968,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
128.018,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
128.077,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
128.151,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
128.245,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
128.37,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
128.527,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
128.72,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
129.22,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
129.72,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
130.22,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
130.72,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
131.22,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
131.72,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
132.208,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
132.708,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
133.208,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
133.708,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
134.208,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
134.708,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
135.208,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
135.708,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
136.208,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
136.708,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
137.16,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
137.565,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
138.016,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
138.516,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
139.016,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
139.395,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
139.895,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
140.395,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
140.895,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
141.395,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
141.891,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
142.391,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
142.671,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
142.99,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
143.49,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
143.99,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
144.49,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
144.99,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
145.49,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
145.99,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
146.49,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
146.99,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
147.49,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
147.99,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
148.49,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
148.99,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
149.49,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
149.99,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
150.49,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
