# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N)
3.391,4.81E+04,8446.622,55.826,0.245,322.705,251.578,4360.365
3.441,4.79E+04,8304.011,55.768,0.244,323.33,251.45,4356.713
3.491,4.78E+04,8164.049,55.725,0.244,323.994,251.351,4365.056
3.541,4.76E+04,8026.687,55.666,0.244,323.769,251.22,4342.383
3.591,4.75E+04,7891.876,55.622,0.243,323.573,251.12,4306.08
3.641,4.74E+04,7759.57,55.563,0.243,323.72,250.986,4272.614
3.691,4.72E+04,7629.722,55.519,0.243,324.131,250.884,4260.358
3.741,4.71E+04,7502.285,55.458,0.242,324.862,250.749,4284.272
3.791,4.70E+04,7377.215,55.409,0.242,324.937,250.637,4233.255
3.841,4.69E+04,7254.469,55.353,0.242,324.727,250.51,4256.984
3.891,4.67E+04,7134.003,55.292,0.241,324.733,250.373,4203.705
3.941,4.66E+04,7015.774,55.248,0.241,324.938,250.269,4230.035
3.991,4.65E+04,6899.742,55.186,0.241,325.776,250.131,4163.838
4.041,4.64E+04,6785.865,55.142,0.24,325.489,250.028,4128.026
4.091,4.63E+04,6674.103,55.081,0.24,325.206,249.89,4052.097
4.141,4.62E+04,6564.417,55.037,0.24,325.529,249.787,4098.566
4.191,4.61E+04,6456.768,54.976,0.24,326.393,249.649,4062.417
4.241,4.60E+04,6351.12,54.927,0.239,326.504,249.537,4037.302
4.291,4.59E+04,6247.434,54.871,0.239,326.121,249.41,3999.959
4.341,4.58E+04,6145.673,54.811,0.239,326.267,249.272,3977.263
4.391,4.57E+04,6045.803,54.768,0.239,326.625,249.172,4038.147
4.441,4.56E+04,5954.882,54.712,0.238,327.157,249.045,4025.823
4.491,4.55E+04,5858.556,54.652,0.238,326.699,248.909,4005.875
4.541,4.54E+04,5764.02,54.61,0.238,326.696,248.81,4006.686
4.591,4.53E+04,5671.239,54.55,0.238,326.901,248.675,4047.873
4.641,4.52E+04,5580.181,54.509,0.237,327.475,248.578,4011.111
4.691,4.51E+04,5461.414,54.429,0.237,326.807,248.397,3967.504
4.741,4.49E+04,5336.074,54.343,0.237,326.645,248.202,3926.36
4.791,4.48E+04,5212.363,54.275,0.236,327.16,248.044,3906.36
4.841,4.47E+04,5090.25,54.188,0.236,327.38,247.847,3886.36
4.891,4.46E+04,4969.707,54.101,0.236,326.962,247.649,3866.36
4.941,4.45E+04,4850.704,54.033,0.236,326.742,247.489,3846.36
4.991,4.43E+04,4733.213,53.946,0.235,327.06,247.289,3826.36
5.041,4.42E+04,4617.204,53.858,0.235,327.246,247.088,3806.36
5.091,4.41E+04,4502.652,53.782,0.235,326.643,246.909,3786.36
5.141,4.40E+04,4389.529,53.702,0.234,326.583,246.725,3766.36
5.191,4.39E+04,4277.807,53.615,0.234,327.056,246.521,3746.36
5.241,4.38E+04,4167.462,53.547,0.234,326.629,246.36,3726.36
5.291,4.37E+04,4058.468,53.46,0.234,326.256,246.155,3706.36
5.341,4.36E+04,3950.799,53.384,0.233,326.421,245.974,3686.36
5.391,4.35E+04,3844.431,53.306,0.233,326.45,245.788,3666.36
5.441,4.34E+04,3739.339,53.22,0.233,325.868,245.582,3646.36
5.491,4.32E+04,3635.501,53.145,0.232,325.825,245.4,3626.36
5.541,4.31E+04,3532.893,53.068,0.232,326.168,245.213,3606.36
5.591,4.30E+04,3431.491,52.984,0.232,325.416,245.005,3586.36
5.641,4.29E+04,3332.786,52.902,0.232,325.182,244.8,3566.36
5.691,4.29E+04,3264.309,52.862,0.232,325.387,244.701,3466.128
5.741,4.28E+04,3204.03,52.812,0.231,325.246,244.572,1945.831
5.791,4.28E+04,3144.871,52.762,0.231,325.11,244.445,1591.282
5.841,4.27E+04,3086.81,52.723,0.231,325.222,244.344,1318.04
