# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Mach number (​),Thrust (N),Drag coefficient (​)
130.8,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
131.232,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
131.732,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
132.232,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
132.732,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
133.184,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
133.684,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
134.184,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
134.684,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
135.184,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
135.684,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
136.184,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
136.684,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
137.184,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
137.684,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
138.184,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
138.684,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
139.184,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
139.684,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
140.184,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
140.684,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
141.184,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
141.538,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
141.864,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
142.364,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
142.864,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
143.364,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
143.864,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
144.364,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
144.864,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
145.364,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
145.864,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
146.364,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
146.864,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
147.364,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
147.864,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
148.364,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
148.864,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
149.364,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
149.852,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
150.352,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
150.852,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
151.352,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
151.852,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
152.352,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
152.852,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
153.352,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
153.852,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
154.352,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
154.852,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
155.352,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
155.852,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
156.352,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
156.671,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
157.171,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
157.42,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
157.92,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
158.249,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
158.749,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
159.249,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
159.651,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
160.151,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
160.651,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
161.151,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
161.651,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
162.151,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
162.651,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
163.151,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
163.651,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
164.151,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
164.651,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
165.151,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
165.417,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
165.813,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
166.313,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
166.813,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
167.313,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
167.813,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
168.313,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
168.813,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
169.182,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
169.682,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
170.182,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
170.682,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
171.182,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
171.682,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
172.182,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
172.682,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
173.182,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
173.682,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
174.106,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
174.606,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
175.106,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
175.606,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
176.106,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
176.606,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
177.106,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
177.415,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
177.714,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
178.214,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
178.591,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
178.952,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
179.452,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
179.952,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
180.452,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
180.952,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
181.452,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
181.952,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
182.452,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
182.952,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
183.452,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
183.952,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
184.419,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
184.919,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
185.419,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
185.906,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
