# Time (s),Altitude (m),Vertical velocity (m/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Mach number (​),Thrust (N),Drag force (N),Drag coefficient (​)
0.01,-3.863e-4,-0.077,5.702e4,1.741e4,56.395,0.268,NaN,250.212,0.009,114.957,3.661e-5,0.645
0.02,-1.854e-4,-0.037,5.699e4,1.738e4,56.403,0.268,NaN,250.27,0.009,344.87,6.442e-5,0.646
0.03,1.575e-5,0.003,5.696e4,1.735e4,56.412,0.267,NaN,250.328,0.009,574.783,1.037e-4,0.647
0.04,0.001,0.294,5.691e4,1.731e4,56.424,0.267,NaN,250.413,0.009,2216.543,9.107e-4,0.646
0.05,0.009,1.119,5.687e4,1.726e4,56.437,0.267,NaN,250.497,0.009,5270.148,0.012,0.638
0.06,0.025,2.251,5.684e4,1.723e4,56.445,0.267,NaN,250.551,0.011,7017.697,0.054,0.621
0.07,0.054,3.462,5.681e4,1.72e4,56.453,0.267,NaN,250.605,0.014,7459.19,0.13,0.602
0.08,0.095,4.75,5.678e4,1.717e4,56.462,0.267,NaN,250.659,0.017,7900.683,0.238,0.583
0.09,0.149,6.068,5.673e4,1.712e4,56.48,0.267,NaN,250.76,0.02,8061.78,0.367,0.567
0.1,0.216,7.366,5.669e4,1.708e4,56.498,0.267,NaN,250.86,0.024,7942.48,0.508,0.554
0.11,0.296,8.647,5.666e4,1.705e4,56.517,0.267,NaN,250.952,0.027,7842.183,0.662,0.542
0.12,0.389,9.914,5.663e4,1.702e4,56.536,0.267,NaN,251.044,0.031,7760.89,0.823,0.532
0.13,0.495,11.168,5.659e4,1.699e4,56.555,0.267,NaN,251.135,0.034,7679.597,0.992,0.524
0.14,0.612,12.412,5.655e4,1.694e4,56.567,0.266,NaN,251.206,0.038,7618.525,1.17,0.517
0.15,0.743,13.65,5.65e4,1.69e4,56.578,0.266,NaN,251.277,0.042,7577.675,1.359,0.511
0.16,0.885,14.877,5.647e4,1.687e4,56.586,0.266,NaN,251.323,0.045,7506.915,1.555,0.505
0.17,1.04,16.086,5.644e4,1.684e4,56.594,0.266,NaN,251.369,0.049,7406.245,1.761,0.5
0.18,1.207,17.278,5.642e4,1.681e4,56.602,0.266,NaN,251.414,0.052,7305.575,1.974,0.496
0.19,1.386,18.459,5.637e4,1.676e4,56.613,0.266,NaN,251.481,0.056,7238.27,2.198,0.491
0.2,1.576,19.635,5.633e4,1.672e4,56.624,0.266,NaN,251.547,0.059,7204.33,2.432,0.488
0.21,1.778,20.805,5.63e4,1.669e4,56.632,0.266,NaN,251.59,0.062,7170.967,2.683,0.484
0.22,1.992,21.971,5.627e4,1.666e4,56.64,0.266,NaN,251.633,0.066,7138.18,2.946,0.481
0.23,2.218,23.131,5.624e4,1.663e4,56.647,0.266,NaN,251.676,0.069,7105.393,3.219,0.478
0.24,2.455,24.283,5.619e4,1.658e4,56.653,0.266,NaN,251.721,0.073,7051.807,3.501,0.475
0.25,2.703,25.423,5.615e4,1.654e4,56.659,0.265,NaN,251.765,0.076,6977.422,3.792,0.472
0.26,2.963,26.551,5.612e4,1.651e4,56.663,0.265,NaN,251.794,0.079,6910.355,4.088,0.47
0.27,3.234,27.669,5.609e4,1.648e4,56.666,0.265,NaN,251.822,0.083,6850.605,4.393,0.467
0.28,3.517,28.777,5.606e4,1.645e4,56.67,0.265,NaN,251.851,0.086,6790.855,4.705,0.465
0.29,3.81,29.882,5.602e4,1.641e4,56.676,0.265,NaN,251.893,0.089,6767.077,5.027,0.463
0.3,4.114,30.99,5.597e4,1.637e4,56.682,0.265,NaN,251.935,0.092,6779.273,5.36,0.461
0.31,4.43,32.09,5.595e4,1.634e4,56.682,0.265,NaN,251.951,0.096,6732.02,5.698,0.459
0.32,4.756,33.172,5.592e4,1.631e4,56.682,0.265,NaN,251.966,0.099,6625.32,6.04,0.458
0.33,5.093,34.235,5.589e4,1.628e4,56.682,0.265,NaN,251.981,0.102,6518.62,6.386,0.456
0.34,5.441,35.276,5.584e4,1.624e4,56.688,0.265,NaN,252.021,0.105,6390.632,6.734,0.454
0.35,5.798,36.291,5.58e4,1.619e4,56.694,0.265,NaN,252.061,0.108,6241.357,7.082,0.453
0.36,6.166,37.293,5.577e4,1.616e4,56.697,0.264,NaN,252.087,0.111,6163.942,7.451,0.452
0.37,6.544,38.295,5.574e4,1.614e4,56.701,0.264,NaN,252.113,0.114,6158.385,7.828,0.45
0.38,6.932,39.296,5.572e4,1.611e4,56.705,0.264,NaN,252.139,0.117,6152.828,8.214,0.449
0.39,7.33,40.292,5.567e4,1.606e4,56.705,0.264,NaN,252.16,0.12,6122.005,8.607,0.448
0.4,7.738,41.279,5.563e4,1.602e4,56.705,0.264,NaN,252.181,0.123,6065.915,9.006,0.446
0.41,8.156,42.261,5.56e4,1.599e4,56.705,0.264,NaN,252.194,0.126,6033.297,9.381,0.445
0.42,8.583,43.241,5.557e4,1.597e4,56.705,0.264,NaN,252.208,0.128,6024.15,9.763,0.444
0.435,9.243,44.708,5.552e4,1.592e4,56.708,0.264,297.922,252.24,0.133,6006.679,10.352,0.443
0.458,10.273,46.864,5.544e4,1.583e4,56.716,0.264,298.825,252.303,0.139,5888.072,11.261,0.441
0.491,11.909,50.076,5.533e4,1.572e4,56.715,0.263,299.565,252.352,0.148,5846.489,12.788,0.44
0.541,14.53,54.766,5.516e4,1.556e4,56.715,0.263,299.982,252.422,0.162,5753.315,15.286,0.44
0.591,17.385,59.418,5.5e4,1.539e4,56.713,0.262,301.972,252.487,0.176,5702.258,17.859,0.441
0.641,20.47,64.018,5.484e4,1.523e4,56.722,0.262,303.341,252.579,0.19,5631.5,20.655,0.442
0.691,23.785,68.577,5.468e4,1.507e4,56.72,0.262,304.4,252.634,0.203,5573.874,23.661,0.443
0.741,27.329,73.171,5.452e4,1.491e4,56.716,0.261,306.169,252.684,0.217,5600.674,26.842,0.443
0.791,31.101,77.697,5.436e4,1.475e4,56.713,0.261,307.701,252.73,0.23,5514.761,30.211,0.444
0.841,35.098,82.214,5.421e4,1.46e4,56.702,0.26,309.513,252.755,0.243,5495.468,33.77,0.445
0.891,39.323,86.759,5.405e4,1.445e4,56.693,0.26,311.549,252.78,0.257,5516.769,37.568,0.446
0.941,43.773,91.269,5.39e4,1.429e4,56.687,0.26,313.049,252.813,0.27,5471.733,41.614,0.447
0.991,48.45,95.817,5.375e4,1.414e4,56.68,0.259,314.592,252.843,0.283,5504.797,45.936,0.448
1.041,53.355,100.353,5.36e4,1.4e4,56.663,0.259,316.509,252.839,0.297,5486.108,50.481,0.449
1.091,58.487,104.924,5.346e4,1.385e4,56.655,0.259,315.735,252.862,0.31,5518.132,55.316,0.451
1.141,63.847,109.5,5.331e4,1.37e4,56.646,0.258,314.563,252.88,0.324,5518.542,60.464,0.452
1.191,69.436,114.051,5.317e4,1.356e4,56.637,0.258,313.065,252.895,0.337,5487.891,65.848,0.453
1.241,75.253,118.622,5.303e4,1.342e4,56.627,0.257,312.647,252.906,0.351,5505.813,71.528,0.455
1.291,81.298,123.189,5.289e4,1.328e4,56.616,0.257,312.086,252.914,0.365,5496.401,77.462,0.456
1.341,87.571,127.754,5.275e4,1.314e4,56.605,0.257,311.35,252.919,0.378,5491.07,83.655,0.458
1.391,94.072,132.284,5.261e4,1.3e4,56.593,0.256,311.094,252.92,0.392,5449.309,90.041,0.459
1.441,100.8,136.802,5.248e4,1.287e4,56.58,0.256,311.717,252.918,0.405,5431.419,96.626,0.461
1.491,107.752,141.317,5.234e4,1.273e4,56.578,0.256,312.117,252.942,0.419,5420.006,103.445,0.463
1.541,114.93,145.782,5.221e4,1.26e4,56.564,0.255,313.4,252.934,0.432,5359.529,110.42,0.464
1.591,122.33,150.236,5.208e4,1.247e4,56.549,0.255,314.706,252.923,0.445,5338.582,117.638,0.466
1.641,129.953,154.674,5.195e4,1.234e4,56.545,0.255,316.174,252.938,0.459,5311.794,125.112,0.468
1.691,137.797,159.07,5.182e4,1.221e4,56.529,0.254,317.631,252.922,0.472,5258.288,132.808,0.47
1.741,145.859,163.441,5.169e4,1.208e4,56.512,0.254,317.162,252.903,0.485,5221.962,140.817,0.472
1.791,154.14,167.788,5.157e4,1.196e4,56.507,0.254,316.105,252.91,0.498,5187.725,149.058,0.474
1.841,162.638,172.131,5.144e4,1.184e4,56.489,0.253,315.491,252.886,0.511,5175.189,157.549,0.476
1.891,171.352,176.429,5.132e4,1.171e4,56.477,0.253,314.955,252.875,0.523,5122.319,166.293,0.478
1.941,180.281,180.723,5.12e4,1.159e4,56.463,0.253,315.152,252.859,0.536,5113.864,175.189,0.481
1.991,189.423,184.978,5.108e4,1.147e4,56.45,0.252,315.166,252.844,0.549,5071.376,184.43,0.483
2.041,198.777,189.173,5.096e4,1.135e4,56.435,0.252,315.852,252.823,0.561,5007.327,193.711,0.486
2.091,208.34,193.342,5.084e4,1.124e4,56.414,0.252,317.039,252.788,0.574,4981.567,203.142,0.488
2.141,218.111,197.504,5.073e4,1.112e4,56.405,0.252,318.146,252.78,0.586,4977.444,212.91,0.491
2.191,228.09,201.644,5.061e4,1.1e4,56.383,0.251,319.057,252.74,0.598,4958.339,222.951,0.493
2.241,238.274,205.724,5.05e4,1.089e4,56.368,0.251,318.174,252.716,0.611,4902.068,233.237,0.496
2.291,248.661,209.766,5.039e4,1.078e4,56.35,0.251,317.272,252.685,0.623,4868.795,243.734,0.499
2.341,259.25,213.787,5.028e4,1.067e4,56.334,0.25,316.778,252.657,0.635,4852.524,254.502,0.502
2.391,270.039,217.785,5.017e4,1.056e4,56.316,0.25,317.118,252.623,0.647,4832.527,265.535,0.505
2.441,281.028,221.746,5.006e4,1.045e4,56.304,0.25,317.8,252.604,0.659,4795.412,276.725,0.508
2.491,292.214,225.697,4.995e4,1.034e4,56.279,0.25,318.847,252.555,0.671,4783.63,288.202,0.511
2.541,303.597,229.618,4.984e4,1.024e4,56.267,0.249,320.017,252.533,0.683,4750.163,299.934,0.515
2.591,315.175,233.505,4.973e4,1.012e4,56.24,0.249,319.749,252.477,0.694,4712.677,312.001,0.518
2.641,326.947,237.373,4.963e4,1.002e4,56.227,0.249,318.891,252.452,0.706,4691.379,324.487,0.522
2.691,338.911,241.216,4.953e4,9916.705,56.2,0.248,318.548,252.397,0.718,4666.053,337.23,0.526
2.741,351.068,245.046,4.942e4,9815.275,56.183,0.248,319.094,252.362,0.729,4656.125,350.054,0.529
2.791,363.415,248.837,4.932e4,9714.975,56.159,0.248,319.599,252.313,0.74,4623.644,363.383,0.534
2.841,375.951,252.584,4.922e4,9615.781,56.141,0.248,320.714,252.275,0.752,4587.767,376.852,0.538
2.891,388.672,256.287,4.913e4,9517.675,56.117,0.247,321.098,252.223,0.763,4554.861,390.622,0.542
2.941,401.578,259.955,4.903e4,9420.65,56.102,0.247,320.442,252.192,0.774,4533.256,404.92,0.547
2.991,414.668,263.604,4.893e4,9324.698,56.074,0.247,320.062,252.13,0.785,4525.074,419.621,0.552
3.041,427.938,267.231,4.884e4,9229.802,56.059,0.247,320.348,252.096,0.796,4512.147,434.779,0.557
3.091,441.39,270.843,4.874e4,9135.959,56.029,0.246,321.242,252.032,0.807,4502.345,450.462,0.562
3.141,455.022,274.42,4.865e4,9043.155,56.014,0.246,322.319,251.997,0.818,4471.645,466.578,0.568
3.191,468.832,278.003,4.856e4,8951.388,55.984,0.246,321.947,251.931,0.829,4480.781,483.603,0.574
3.241,482.822,281.567,4.847e4,8860.651,55.963,0.246,321.427,251.885,0.84,4465.968,501.32,0.581
3.291,496.988,285.081,4.835e4,8742.774,55.925,0.245,321.743,251.801,0.85,4424.506,519.273,0.588
3.341,511.328,288.535,4.82e4,8591.932,55.878,0.245,322.624,251.695,0.86,4375.625,537.7,0.595
3.391,525.841,291.963,4.806e4,8446.622,55.826,0.245,323.289,251.578,0.871,4360.365,557.481,0.603
3.441,540.524,295.373,4.791e4,8304.011,55.768,0.244,323.467,251.45,0.881,4356.713,578.377,0.612
3.491,555.378,298.776,4.777e4,8164.049,55.725,0.244,323.075,251.351,0.892,4365.056,600.644,0.622
3.541,570.401,302.14,4.764e4,8026.687,55.666,0.244,323.128,251.22,0.902,4342.383,622.379,0.631
3.591,585.591,305.46,4.75e4,7891.876,55.622,0.243,323.536,251.12,0.912,4306.08,634.454,0.631
3.641,600.946,308.747,4.737e4,7759.57,55.563,0.243,324.165,250.986,0.922,4272.614,646.402,0.63
3.691,616.465,312.022,4.724e4,7629.722,55.519,0.243,324.816,250.884,0.932,4260.358,658.343,0.629
3.741,632.149,315.325,4.711e4,7502.285,55.458,0.242,324.225,250.749,0.942,4284.272,670.756,0.628
3.791,647.997,318.577,4.699e4,7377.215,55.409,0.242,324.118,250.637,0.952,4233.255,683.097,0.628
3.841,664.007,321.85,4.686e4,7254.469,55.353,0.242,324.661,250.51,0.962,4256.984,696.009,0.628
3.891,680.18,325.059,4.674e4,7134.003,55.292,0.241,325.403,250.373,0.972,4203.705,708.867,0.628
3.941,696.514,328.286,4.662e4,7015.774,55.248,0.241,325.321,250.269,0.981,4230.035,721.882,0.628
3.991,713.007,331.433,4.651e4,6899.742,55.186,0.241,325.218,250.131,0.991,4163.838,734.876,0.628
4.041,729.656,334.536,4.639e4,6785.865,55.142,0.24,325.461,250.028,1.001,4128.026,747.942,0.628
4.091,746.458,337.553,4.628e4,6674.103,55.081,0.24,325.926,249.89,1.01,4052.097,762.782,0.63
4.141,763.413,340.617,4.617e4,6564.417,55.037,0.24,326.421,249.787,1.019,4098.566,778.072,0.633
4.191,780.519,343.638,4.607e4,6456.768,54.976,0.24,326.204,249.649,1.029,4062.417,793.25,0.635
4.241,797.776,346.627,4.596e4,6351.12,54.927,0.239,326.104,249.537,1.038,4037.302,808.552,0.637
4.291,815.181,349.569,4.586e4,6247.434,54.871,0.239,326.213,249.41,1.047,3999.959,823.898,0.639
4.341,832.732,352.476,4.575e4,6145.673,54.811,0.239,326.717,249.272,1.056,3977.263,836.942,0.639
4.391,850.43,355.438,4.565e4,6045.803,54.768,0.239,326.862,249.172,1.065,4038.147,849.129,0.639
4.441,868.275,358.374,4.556e4,5954.882,54.712,0.238,326.545,249.045,1.074,4025.823,861.314,0.639
4.491,886.266,361.28,4.547e4,5858.556,54.652,0.238,326.726,248.909,1.083,4005.875,873.506,0.638
4.541,904.403,364.182,4.537e4,5764.02,54.61,0.238,326.951,248.81,1.092,4006.686,885.479,0.638
4.591,922.686,367.128,4.528e4,5671.239,54.55,0.238,327.32,248.675,1.101,4047.873,897.759,0.637
4.641,941.115,370.033,4.519e4,5580.181,54.509,0.237,326.96,248.578,1.11,4011.111,909.13,0.636
4.691,959.688,372.888,4.507e4,5461.414,54.429,0.237,326.904,248.397,1.119,3967.504,920.308,0.636
4.741,978.402,375.695,4.494e4,5336.074,54.343,0.237,327.274,248.202,1.128,3926.36,931.204,0.635
4.791,997.256,378.47,4.482e4,5212.363,54.275,0.236,327.316,248.044,1.136,3906.36,942.006,0.634
4.841,1016.249,381.216,4.47e4,5090.25,54.188,0.236,327.104,247.847,1.145,3886.36,952.869,0.633
4.891,1035.377,383.935,4.458e4,4969.707,54.101,0.236,327.026,247.649,1.153,3866.36,963.473,0.632
4.941,1054.642,386.63,4.446e4,4850.704,54.033,0.236,327.368,247.489,1.162,3846.36,974.058,0.631
4.991,1074.04,389.305,4.434e4,4733.213,53.946,0.235,327.262,247.289,1.17,3826.36,984.496,0.631
5.041,1093.572,391.959,4.423e4,4617.204,53.858,0.235,326.948,247.088,1.178,3806.36,994.91,0.63
5.091,1113.235,394.588,4.411e4,4502.652,53.782,0.235,326.976,246.909,1.186,3786.36,1005.169,0.629
5.141,1133.03,397.189,4.4e4,4389.529,53.702,0.234,327.065,246.725,1.195,3766.36,1015.512,0.628
5.191,1152.953,399.76,4.389e4,4277.807,53.615,0.234,327.008,246.521,1.203,3746.36,1025.34,0.628
5.241,1173.005,402.3,4.378e4,4167.462,53.547,0.234,326.52,246.36,1.211,3726.36,1034.372,0.626
5.291,1193.183,404.812,4.367e4,4058.468,53.46,0.234,326.428,246.155,1.219,3706.36,1043.248,0.625
5.341,1213.486,407.304,4.356e4,3950.799,53.384,0.233,326.835,245.974,1.226,3686.36,1052.176,0.624
5.391,1233.913,409.777,4.345e4,3844.431,53.306,0.233,326.177,245.788,1.234,3666.36,1061.156,0.623
5.441,1254.463,412.23,4.335e4,3739.339,53.22,0.233,325.945,245.582,1.242,3646.36,1069.928,0.622
5.491,1275.135,414.655,4.324e4,3635.501,53.145,0.232,326.141,245.4,1.25,3626.36,1078.533,0.621
5.541,1295.928,417.047,4.314e4,3532.893,53.068,0.232,325.995,245.213,1.257,3606.36,1087.08,0.62
5.591,1316.839,419.407,4.304e4,3431.491,52.984,0.232,325.455,245.005,1.265,3586.36,1095.444,0.619
5.641,1337.868,421.738,4.294e4,3332.786,52.902,0.232,325.319,244.8,1.272,3566.36,1103.602,0.617
5.691,1359.01,423.956,4.287e4,3264.309,52.862,0.232,325.532,244.701,1.279,3466.128,1111.16,0.617
5.741,1380.22,424.429,4.281e4,3204.03,52.812,0.231,325.068,244.572,1.281,1945.831,1111.114,0.616
5.791,1401.443,424.502,4.275e4,3144.871,52.762,0.231,324.934,244.445,1.282,1591.282,1109.112,0.616
5.841,1422.662,424.261,4.27e4,3086.81,52.723,0.231,325.361,244.344,1.281,1318.04,1105.594,0.616
5.891,1443.869,424.03,4.264e4,3029.827,52.682,0.231,325.268,244.24,1.281,1329.016,1102.206,0.616
5.941,1465.07,424.012,4.258e4,2973.904,52.635,0.231,324.976,244.116,1.281,1515,1099.809,0.616
5.991,1486.267,423.879,4.253e4,2919.019,52.606,0.231,325.298,244.041,1.281,1413.225,1097.009,0.616
6.041,1507.46,423.838,4.247e4,2865.154,52.57,0.23,325.335,243.947,1.282,1482.655,1094.627,0.616
6.091,1528.652,423.822,4.243e4,2825.379,52.544,0.23,324.999,243.878,1.282,1496.681,1092.359,0.616
6.141,1549.842,423.789,4.231e4,2697.005,52.446,0.23,325.24,243.612,1.282,1478.176,1089.799,0.616
6.191,1571.03,423.708,4.225e4,2641.574,52.407,0.23,325.46,243.505,1.282,1438.721,1087.126,0.616
6.241,1592.207,423.406,4.22e4,2587.371,52.363,0.23,325.142,243.378,1.282,1250.012,1083.524,0.616
6.291,1613.371,423.152,4.214e4,2534.369,52.335,0.23,325.208,243.303,1.281,1289.11,1080.182,0.616
6.341,1634.52,422.798,4.209e4,2482.541,52.302,0.23,325.58,243.209,1.281,1197.79,1076.412,0.616
6.391,1655.646,422.245,4.204e4,2431.861,52.268,0.229,325.483,243.11,1.279,1019.514,1071.588,0.616
6.441,1676.744,421.659,4.199e4,2382.303,52.228,0.229,325.302,242.991,1.278,984.548,1066.83,0.617
6.491,1697.81,420.99,4.194e4,2333.844,52.204,0.229,325.289,242.925,1.276,907.275,1061.857,0.617
6.541,1718.833,419.95,4.19e4,2286.457,52.181,0.229,325.784,242.86,1.274,588.654,1055.198,0.617
6.591,1739.812,419.201,4.185e4,2240.12,52.159,0.229,325.342,242.798,1.272,836.08,1049.791,0.618
6.641,1760.738,417.854,4.18e4,2194.81,52.131,0.229,325.347,242.715,1.268,326.318,1041.901,0.618
6.691,1781.596,416.449,4.176e4,2150.503,52.116,0.229,325.95,242.679,1.264,267.038,1033.922,0.619
6.741,1802.392,415.393,4.172e4,2107.178,52.091,0.229,325.794,242.6,1.261,549.629,1027.338,0.619
6.791,1823.126,413.951,4.167e4,2064.812,52.071,0.228,325.75,242.546,1.257,213.604,1019.114,0.62
6.841,1843.784,412.382,4.163e4,2023.385,52.053,0.228,325.931,242.493,1.253,99.447,1010.531,0.62
6.891,1864.363,410.785,4.159e4,1982.876,52.04,0.228,326.264,242.464,1.249,68.652,1002.006,0.621
6.941,1884.863,409.212,4.155e4,1943.264,52.027,0.228,326.179,242.434,1.244,86.01,993.497,0.621
6.991,1905.283,407.609,4.151e4,1904.53,52.015,0.228,325.979,242.407,1.24,56.637,984.88,0.622
7.041,1925.624,406.016,4.148e4,1866.653,52.004,0.228,326.293,242.38,1.235,58.682,976.39,0.623
7.091,1945.885,404.431,4.144e4,1829.615,51.992,0.228,326.711,242.353,1.231,53.226,967.796,0.623
7.141,1966.067,402.86,4.14e4,1793.399,51.981,0.228,326.415,242.327,1.226,53.044,959.474,0.624
7.191,1986.171,401.298,4.137e4,1757.983,51.97,0.228,326.416,242.302,1.222,50.307,951.11,0.625
7.241,2006.197,399.734,4.133e4,1723.353,51.959,0.228,326.693,242.277,1.217,42.392,942.845,0.625
7.291,2026.145,398.176,4.13e4,1689.489,51.949,0.227,326.885,242.252,1.213,42.565,934.603,0.626
7.341,2046.014,396.61,4.126e4,1656.376,51.938,0.227,326.596,242.228,1.208,33.542,926.413,0.627
7.391,2065.805,395.039,4.123e4,1623.996,51.928,0.227,326.711,242.205,1.204,23.401,918.272,0.627
7.441,2085.518,393.481,4.12e4,1592.334,51.918,0.227,327.162,242.182,1.2,22.891,910.326,0.628
7.491,2105.154,391.939,4.117e4,1561.373,51.909,0.227,326.798,242.16,1.195,24.695,902.09,0.628
7.541,2124.712,390.394,4.114e4,1531.097,51.899,0.227,326.81,242.138,1.191,11.734,893.816,0.629
7.591,2144.193,388.851,4.111e4,1501.493,51.89,0.227,327.194,242.116,1.186,7.77,885.554,0.629
7.641,2163.597,387.306,4.108e4,1472.543,51.881,0.227,327.236,242.095,1.182,2.048,877.485,0.63
7.691,2182.924,385.764,4.105e4,1444.236,51.872,0.227,326.979,242.074,1.178,0,869.429,0.63
7.741,2202.174,384.23,4.103e4,1416.555,51.863,0.227,327.072,242.054,1.173,0,861.494,0.63
7.791,2221.347,382.706,4.1e4,1389.488,51.855,0.227,327.3,242.034,1.169,0,853.625,0.631
7.841,2240.445,381.195,4.097e4,1363.02,51.847,0.227,327.314,242.015,1.165,0,845.935,0.631
7.891,2259.467,379.695,4.095e4,1337.138,51.839,0.227,327.176,241.996,1.16,0,838.257,0.632
7.941,2278.414,378.204,4.092e4,1311.83,51.831,0.227,327.336,241.977,1.156,0,830.576,0.632
7.991,2297.287,376.719,4.09e4,1287.082,51.823,0.226,327.534,241.959,1.152,0,823.059,0.632
8.041,2316.086,375.24,4.087e4,1262.882,51.815,0.226,327.464,241.941,1.148,0,815.7,0.633
8.091,2334.811,373.77,4.085e4,1239.219,51.808,0.226,327.366,241.924,1.143,0,808.369,0.633
8.141,2353.463,372.307,4.082e4,1216.08,51.801,0.226,327.457,241.907,1.139,0,801.175,0.634
8.191,2372.042,370.853,4.08e4,1193.453,51.794,0.226,327.553,241.89,1.135,0,794.032,0.634
8.241,2390.549,369.409,4.078e4,1171.327,51.787,0.226,327.543,241.874,1.131,0,786.875,0.634
8.291,2408.983,367.973,4.076e4,1149.692,51.78,0.226,327.46,241.858,1.127,0,779.872,0.635
8.341,2427.346,366.545,4.074e4,1128.535,51.773,0.226,327.478,241.842,1.123,0,772.902,0.635
8.391,2445.638,365.124,4.072e4,1107.848,51.767,0.226,327.399,241.826,1.119,0,766.121,0.636
8.441,2463.859,363.712,4.07e4,1087.619,51.76,0.226,327.508,241.811,1.115,0,759.312,0.636
8.491,2482.009,362.307,4.068e4,1067.838,51.754,0.226,327.453,241.797,1.111,0,752.713,0.636
8.541,2500.09,360.909,4.066e4,1048.494,51.748,0.226,327.423,241.782,1.107,0,746.088,0.637
8.591,2518.1,359.518,4.064e4,1029.58,51.742,0.226,327.437,241.768,1.103,0,739.651,0.637
8.641,2536.041,358.136,4.062e4,1011.085,51.736,0.226,327.255,241.754,1.099,0,733.282,0.638
8.691,2553.914,356.763,4.06e4,992.998,51.731,0.226,327.295,241.741,1.095,0,726.659,0.638
8.741,2571.718,355.395,4.058e4,975.313,51.725,0.226,327.09,241.728,1.091,0,719.877,0.638
8.791,2589.453,354.032,4.057e4,958.019,51.72,0.226,327.004,241.715,1.087,0,713.325,0.638
8.841,2607.121,352.677,4.055e4,941.109,51.714,0.226,327.171,241.702,1.083,0,706.899,0.638
8.891,2624.721,351.332,4.053e4,924.573,51.709,0.226,327.262,241.69,1.079,0,700.426,0.638
8.941,2642.254,349.995,4.052e4,908.403,51.704,0.225,327.229,241.678,1.075,0,693.949,0.639
8.991,2659.721,348.666,4.05e4,892.592,51.699,0.225,327.041,241.666,1.072,0,687.653,0.639
9.041,2677.121,347.345,4.049e4,877.131,51.694,0.225,326.969,241.654,1.068,0,681.405,0.639
9.091,2694.456,346.031,4.047e4,862.012,51.689,0.225,327.058,241.643,1.064,0,675.172,0.639
9.141,2711.724,344.723,4.046e4,847.228,51.685,0.225,327.019,241.632,1.06,0,669.163,0.639
9.191,2728.928,343.423,4.044e4,832.772,51.68,0.225,326.981,241.621,1.057,0,663.285,0.639
9.241,2746.067,342.128,4.043e4,818.636,51.676,0.225,326.841,241.61,1.053,0,657.34,0.64
9.291,2763.141,340.839,4.041e4,804.813,51.671,0.225,326.719,241.6,1.049,0,651.197,0.64
9.341,2780.151,339.559,4.04e4,791.296,51.667,0.225,326.88,241.589,1.045,0,644.499,0.639
9.391,2797.097,338.288,4.039e4,778.078,51.663,0.225,326.636,241.58,1.042,0,637.905,0.638
9.441,2813.98,337.026,4.037e4,765.154,51.659,0.225,326.583,241.57,1.038,0,631.294,0.637
9.491,2830.8,335.771,4.036e4,752.516,51.655,0.225,326.688,241.56,1.035,0,624.714,0.636
9.541,2847.557,334.523,4.035e4,740.157,51.651,0.225,326.66,241.551,1.031,0,618.366,0.635
9.591,2864.252,333.282,4.034e4,728.073,51.647,0.225,326.577,241.542,1.027,0,612.056,0.634
9.641,2880.885,332.049,4.032e4,716.256,51.644,0.225,326.565,241.533,1.024,0,605.914,0.634
9.691,2897.457,330.823,4.031e4,704.7,51.64,0.225,326.501,241.524,1.021,0,599.846,0.633
9.741,2913.968,329.605,4.03e4,693.401,51.636,0.225,326.412,241.515,1.017,0,593.86,0.632
9.791,2930.418,328.393,4.029e4,682.352,51.633,0.225,326.278,241.507,1.014,0,587.783,0.631
9.841,2946.807,327.188,4.028e4,671.548,51.629,0.225,326.238,241.499,1.01,0,581.91,0.631
9.891,2963.137,325.99,4.027e4,660.983,51.626,0.225,326.16,241.491,1.007,0,576.039,0.63
9.941,2979.406,324.799,4.026e4,650.652,51.623,0.225,326.192,241.483,1.003,0,570.36,0.629
9.991,2995.617,323.616,4.025e4,640.551,51.62,0.225,326.111,241.475,1,0,564.651,0.628
10.041,3011.768,322.439,4.024e4,630.672,51.617,0.225,326.103,241.468,0.997,0,559.604,0.628
10.091,3027.861,321.267,4.023e4,621.013,51.613,0.225,325.882,241.46,0.993,0,554.527,0.628
10.141,3043.895,320.101,4.022e4,611.567,51.61,0.225,325.823,241.453,0.99,0,549.582,0.628
10.191,3059.871,318.941,4.021e4,602.331,51.608,0.225,325.832,241.446,0.986,0,544.688,0.628
10.241,3075.789,317.787,4.02e4,593.299,51.605,0.225,325.835,241.439,0.983,0,539.818,0.628
10.291,3091.65,316.64,4.019e4,584.468,51.602,0.225,325.558,241.433,0.98,0,535.135,0.628
10.341,3107.453,315.5,4.018e4,575.831,51.599,0.225,325.451,241.426,0.976,0,530.417,0.628
10.391,3123.2,314.366,4.018e4,567.387,51.596,0.225,325.301,241.42,0.973,0,525.856,0.628
10.441,3138.89,313.237,4.017e4,559.13,51.594,0.225,325.327,241.413,0.97,0,521.319,0.628
10.491,3154.523,312.112,4.016e4,551.055,51.591,0.225,325.518,241.407,0.967,0,516.79,0.628
10.541,3170.101,310.991,4.015e4,543.159,51.589,0.225,325.171,241.401,0.963,0,512.262,0.628
10.591,3185.623,309.874,4.014e4,535.438,51.586,0.225,324.874,241.395,0.96,0,507.774,0.628
