# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s),MaxQ (mbar)
6.25,961.968,157.872,-15.808,159.257,15.83,111.022,0.032,111.022,0.017,20.954,0.828,36,-85.999,9.794,0.003,-3.46e-6,0.466,-0.039,2.62e4,2835,10.809,0.204,210.22,152.592,2.836,0.476,2.592e7,0,158.908,0.366,0.366,0.196,0.02,0.149,4.742e-4,0.001,3.149e-4,0,0,0,0,4.625e-6,0.019,20.32,324.293,82.407,0.031,0.1,5.068,842.728,334.37,0.05,0.213,NaN
6.3,969.842,157.084,-15.739,158.47,15.76,112.069,0.033,112.069,0.017,20.913,0.817,36,-85.999,9.793,0.002,-4.639e-6,0.476,-0.138,2.62e4,2835,10.809,0.204,210.213,152.592,2.836,0.474,2.577e7,0,157.077,0.366,0.366,0.196,0.02,0.149,2.462e-4,5.266e-4,2.362e-4,0,0,0,0,4.874e-6,0.019,20.32,324.293,82.382,0.033,0.1,5.017,841.931,334.339,0.05,0.213,NaN
6.35,977.677,156.298,-15.671,157.686,15.691,113.113,0.033,113.113,0.017,20.873,0.806,36,-85.999,9.793,5.362e-4,-1.84e-6,-0.128,-0.489,2.62e4,2835,10.809,0.204,210.206,152.592,2.835,0.472,2.563e7,0,155.268,0.365,0.365,0.196,0.02,0.149,8.78e-5,1.791e-4,-1.852e-4,0,0,0,0,-3.545e-7,0.019,20.32,324.293,82.357,0.033,0.1,4.966,841.138,334.308,0.05,0.214,NaN
6.4,985.472,155.517,-15.603,156.906,15.624,114.156,0.034,114.156,0.017,20.833,0.796,36,-85.999,9.793,0.002,-6.353e-6,-0.497,-0.048,2.62e4,2835,10.809,0.204,210.195,152.592,2.835,0.469,2.549e7,0,153.481,0.365,0.365,0.196,0.02,0.149,2.906e-4,0.001,-3.523e-4,0,0,0,0,-5.436e-6,0.019,20.32,324.293,82.332,0.033,0.1,4.915,840.349,334.278,0.05,0.215,NaN
6.45,993.228,154.738,-15.536,156.129,15.556,115.197,0.034,115.197,0.017,20.793,0.788,36,-85.999,9.793,0.002,-4.683e-6,-0.464,-0.04,2.62e4,2835,10.809,0.204,210.186,152.592,2.834,0.467,2.535e7,0,151.715,0.365,0.365,0.196,0.02,0.148,3.709e-4,0.001,2.601e-4,0,0,0,0,-4.778e-6,0.019,20.32,324.293,82.308,0.032,0.1,4.865,839.564,334.247,0.05,0.216,NaN
6.5,1000.946,153.963,-15.47,155.355,15.489,116.235,0.035,116.235,0.017,20.754,0.783,36,-85.999,9.793,0.001,-6.819e-6,-0.435,0.099,2.62e4,2835,10.809,0.204,210.179,152.592,2.834,0.465,2.52e7,0,149.97,0.364,0.364,0.196,0.02,0.148,2.311e-4,8.724e-4,-1.26e-4,0,0,0,0,-4.237e-6,0.018,20.32,324.293,82.285,0.029,0.1,4.815,838.783,334.217,0.05,0.217,NaN
6.55,1008.625,153.191,-15.403,154.585,15.423,117.272,0.035,117.272,0.017,20.715,0.782,36,-85.999,9.793,7.124e-4,-2.326e-6,0.416,0.15,2.62e4,2835,10.809,0.204,210.171,152.592,2.834,0.463,2.506e7,0,148.246,0.364,0.364,0.196,0.02,0.148,1.165e-4,4.252e-5,-4.359e-4,0,0,0,0,3.919e-6,0.018,20.32,324.293,82.263,0.028,0.1,4.765,838.005,334.186,0.05,0.218,NaN
6.6,1016.265,152.423,-15.338,153.819,15.358,118.307,0.036,118.307,0.017,20.676,0.779,36,-85.999,9.793,0.003,-2.485e-6,0.436,0.096,2.62e4,2835,10.809,0.204,210.16,152.592,2.833,0.46,2.492e7,0,146.542,0.364,0.364,0.197,0.02,0.148,4.132e-4,0.002,3.038e-4,0,0,0,0,4.354e-6,0.018,20.32,324.293,82.241,0.027,0.1,4.715,837.232,334.156,0.05,0.219,NaN
6.65,1023.867,151.657,-15.274,153.055,15.293,119.34,0.037,119.34,0.018,20.637,0.776,36,-85.999,9.793,0.004,-4.253e-6,0.477,0.031,2.62e4,2835,10.809,0.204,210.15,152.592,2.833,0.458,2.479e7,0,144.859,0.364,0.364,0.197,0.02,0.147,5.85e-4,0.001,-3.452e-4,0,0,0,0,5.247e-6,0.018,20.32,324.293,82.218,0.029,0.1,4.666,836.463,334.126,0.05,0.219,NaN
6.7,1031.431,150.895,-15.211,152.295,15.23,120.37,0.037,120.37,0.018,20.598,0.768,36,-85.999,9.793,0.003,-4.757e-6,0.522,-0.014,2.62e4,2835,10.809,0.204,210.143,152.592,2.832,0.456,2.465e7,0,143.195,0.363,0.363,0.197,0.02,0.147,5.097e-4,0.001,1.051e-4,0,0,0,0,6.352e-6,0.018,20.32,324.293,82.193,0.033,0.1,4.617,835.697,334.097,0.05,0.22,NaN
6.75,1038.957,150.136,-15.149,151.537,15.167,121.399,0.038,121.399,0.018,20.56,0.758,36,-85.999,9.793,0.002,0,0.487,-0.215,2.62e4,2835,10.809,0.204,210.137,152.592,2.832,0.454,2.451e7,0,141.551,0.363,0.363,0.197,0.02,0.147,2.574e-4,0.001,3.092e-4,0,0,0,0,5.587e-6,0.018,20.32,324.293,82.166,0.035,0.1,4.568,834.935,334.067,0.05,0.221,NaN
6.8,1046.445,149.38,-15.087,150.783,15.106,122.426,0.038,122.426,0.018,20.522,0.746,36,-85.999,9.793,9.97e-4,-6.145e-6,-0.47,-0.28,2.62e4,2835,10.809,0.204,210.129,152.592,2.832,0.451,2.437e7,0,139.926,0.363,0.363,0.197,0.019,0.146,1.629e-4,7.992e-4,-2.667e-4,0,0,0,0,-5.262e-6,0.018,20.32,324.293,82.139,0.037,0.1,4.519,834.177,334.037,0.05,0.222,NaN
6.85,1053.895,148.628,-15.027,150.033,15.045,123.452,0.039,123.452,0.018,20.485,0.736,36,-85.999,9.793,0.003,-5.21e-6,-0.517,-0.098,2.62e4,2835,10.809,0.204,210.119,152.592,2.831,0.449,2.424e7,0,138.32,0.362,0.362,0.197,0.019,0.146,4.442e-4,0.002,4.61e-4,0,0,0,0,-6.431e-6,0.018,20.32,324.293,82.112,0.037,0.1,4.471,833.423,334.008,0.05,0.223,NaN
6.9,1061.307,147.878,-14.967,149.285,14.984,124.475,0.039,124.475,0.018,20.449,0.729,36,-85.999,9.793,0.003,-2.965e-6,-0.502,-0.047,2.62e4,2835,10.809,0.204,210.111,152.592,2.831,0.447,2.41e7,0,136.733,0.362,0.362,0.197,0.019,0.146,4.721e-4,0.001,1.621e-4,0,0,0,0,-6.114e-6,0.018,20.32,324.293,82.086,0.034,0.1,4.422,832.673,333.979,0.05,0.223,NaN
6.95,1068.683,147.131,-14.907,148.54,14.924,125.496,0.04,125.496,0.018,20.412,0.726,36,-85.999,9.793,0.002,-4.953e-6,-0.462,0.119,2.62e4,2835,10.809,0.204,210.104,152.592,2.83,0.445,2.397e7,0,135.164,0.362,0.362,0.197,0.019,0.146,3.141e-4,0.001,4.796e-4,0,0,0,0,-5.224e-6,0.018,20.32,324.293,82.061,0.03,0.1,4.374,831.927,333.95,0.05,0.224,NaN
7,1076.021,146.387,-14.847,147.798,14.865,126.516,0.041,126.516,0.018,20.376,0.724,36,-85.999,9.793,8.882e-4,-3.386e-6,0.096,0.473,2.62e4,2835,10.809,0.204,210.098,152.592,2.83,0.443,2.384e7,0,133.613,0.361,0.361,0.197,0.019,0.145,1.45e-4,-3.646e-5,3.373e-4,0,0,0,0,2.301e-7,0.018,20.32,324.293,82.038,0.027,0.1,4.327,831.184,333.921,0.05,0.225,NaN
7.05,1083.321,145.646,-14.788,147.06,14.806,127.534,0.041,127.534,0.019,20.34,0.723,36,-85.999,9.793,0.002,-4.417e-6,0.465,0.166,2.62e4,2835,10.809,0.204,210.088,152.592,2.83,0.44,2.37e7,0,132.079,0.361,0.361,0.197,0.019,0.145,4.025e-4,0.001,-7.66e-5,0,0,0,0,5.416e-6,0.017,20.32,324.293,82.014,0.027,0.1,4.279,830.445,333.892,0.05,0.226,NaN
7.1,1090.585,144.908,-14.73,146.324,14.748,128.55,0.042,128.55,0.019,20.304,0.719,36,-85.999,9.793,0.003,-1.935e-6,0.512,0.044,2.62e4,2835,10.809,0.204,210.079,152.592,2.829,0.438,2.357e7,0,130.564,0.361,0.361,0.197,0.019,0.145,5.263e-4,0.002,3.531e-4,0,0,0,0,6.623e-6,0.017,20.32,324.293,81.988,0.031,0.1,4.232,829.71,333.864,0.05,0.227,NaN
7.15,1097.812,144.173,-14.673,145.591,14.691,129.564,0.042,129.564,0.019,20.268,0.713,36,-85.999,9.793,0.003,-1.042e-6,0.544,-0.097,2.62e4,2835,10.809,0.204,210.071,152.592,2.829,0.436,2.344e7,0,129.065,0.361,0.361,0.197,0.019,0.145,5.144e-4,0.002,2.643e-4,0,0,0,0,7.546e-6,0.017,20.32,324.293,81.962,0.037,0.1,4.185,828.978,333.835,0.05,0.227,NaN
7.2,1105.003,143.441,-14.617,144.861,14.634,130.577,0.043,130.577,0.019,20.233,0.704,36,-85.999,9.793,0.002,-3.744e-6,0.511,-0.267,2.62e4,2835,10.809,0.204,210.066,152.592,2.828,0.434,2.331e7,0,127.584,0.36,0.36,0.197,0.019,0.144,3.209e-4,0.001,-1.491e-4,0,0,0,0,6.719e-6,0.017,20.32,324.293,81.934,0.041,0.1,4.138,828.25,333.807,0.05,0.228,NaN
7.25,1112.156,142.711,-14.562,144.134,14.579,131.588,0.044,131.588,0.019,20.198,0.695,36,-85.999,9.793,8.757e-4,-6.268e-6,-0.089,-0.567,2.62e4,2835,10.809,0.204,210.06,152.592,2.828,0.432,2.318e7,0,126.119,0.36,0.36,0.197,0.019,0.144,1.429e-4,4.183e-4,8.597e-5,0,0,0,0,-2.077e-7,0.017,20.32,324.293,81.905,0.042,0.1,4.092,827.526,333.779,0.05,0.229,NaN
7.3,1119.274,141.985,-14.508,143.409,14.524,132.597,0.044,132.597,0.019,20.163,0.686,36,-85.999,9.793,0.002,-4.346e-6,-0.537,-0.177,2.62e4,2835,10.809,0.204,210.051,152.592,2.828,0.43,2.305e7,0,124.671,0.36,0.36,0.197,0.019,0.144,2.835e-4,0.001,1.411e-4,0,0,0,0,-7.586e-6,0.017,20.32,324.293,81.876,0.039,0.1,4.046,826.806,333.751,0.05,0.229,NaN
7.35,1126.355,141.261,-14.453,142.688,14.469,133.604,0.045,133.604,0.019,20.129,0.68,36,-85.999,9.793,0.002,-3.253e-6,-0.546,0.021,2.62e4,2835,10.809,0.204,210.044,152.592,2.827,0.428,2.292e7,0,123.24,0.359,0.359,0.197,0.019,0.144,2.945e-4,0.001,2.538e-4,0,0,0,0,-7.914e-6,0.017,20.32,324.293,81.848,0.034,0.1,4,826.089,333.723,0.05,0.23,NaN
7.4,1133.4,140.539,-14.399,141.969,14.415,134.61,0.046,134.61,0.019,20.095,0.676,36,-85.999,9.793,0.001,-3.75e-6,-0.483,0.228,2.62e4,2835,10.809,0.204,210.037,152.592,2.827,0.425,2.279e7,0,121.824,0.359,0.359,0.197,0.019,0.144,2.313e-4,6.386e-4,-4.525e-4,0,0,0,0,-6.27e-6,0.017,20.32,324.293,81.822,0.031,0.1,3.954,825.376,333.695,0.05,0.231,NaN
7.45,1140.409,139.821,-14.345,141.253,14.361,135.614,0.046,135.614,0.019,20.061,0.673,36,-85.998,9.793,6.969e-4,-4.503e-6,0.094,0.516,2.62e4,2835,10.809,0.204,210.031,152.592,2.827,0.423,2.266e7,0,120.424,0.359,0.359,0.197,0.018,0.143,1.136e-4,3.92e-4,-4.415e-4,0,0,0,0,2.376e-7,0.017,20.32,324.293,81.795,0.03,0.1,3.908,824.667,333.667,0.05,0.231,NaN
7.5,1147.382,139.105,-14.292,140.539,14.308,136.616,0.047,136.616,0.02,20.028,0.671,36,-85.998,9.793,0.002,-3.957e-6,0.492,0.22,2.62e4,2835,10.809,0.204,210.022,152.592,2.826,0.421,2.254e7,0,119.04,0.359,0.359,0.197,0.018,0.143,3.08e-4,5.638e-4,4.735e-4,0,0,0,0,6.627e-6,0.017,20.32,324.293,81.768,0.031,0.1,3.863,823.961,333.64,0.05,0.232,NaN
7.55,1154.319,138.391,-14.24,139.828,14.256,137.616,0.047,137.616,0.02,19.994,0.667,36,-85.998,9.793,0.003,-5.652e-6,0.554,0.067,2.62e4,2835,10.809,0.204,210.014,152.592,2.826,0.419,2.241e7,0,117.671,0.358,0.358,0.197,0.018,0.143,4.422e-4,0.002,3.313e-4,0,0,0,0,8.473e-6,0.017,20.32,324.293,81.741,0.034,0.1,3.818,823.259,333.613,0.05,0.233,NaN
7.6,1161.221,137.681,-14.189,139.12,14.204,138.615,0.048,138.615,0.02,19.961,0.662,36,-85.998,9.793,0.003,-4.204e-7,0.568,-0.124,2.62e4,2835,10.809,0.204,210.007,152.592,2.826,0.417,2.228e7,0,116.318,0.358,0.358,0.197,0.018,0.143,4.589e-4,0.002,-3.073e-4,0,0,0,0,9.025e-6,0.017,20.32,324.293,81.713,0.038,0.1,3.773,822.56,333.585,0.05,0.234,NaN
7.65,1168.088,136.973,-14.138,138.415,14.153,139.612,0.049,139.612,0.02,19.928,0.655,36,-85.998,9.793,0.002,-1.855e-6,0.568,-0.21,2.62e4,2835,10.809,0.204,210,152.592,2.825,0.415,2.216e7,0,114.979,0.358,0.358,0.197,0.018,0.142,3.751e-4,5.567e-4,-4.669e-4,0,0,0,0,9.09e-6,0.016,20.32,324.293,81.683,0.042,0.1,3.728,821.865,333.558,0.05,0.235,NaN
7.7,1174.918,136.267,-14.088,137.712,14.103,140.608,0.049,140.608,0.02,19.896,0.648,36,-85.998,9.793,0.001,-4.622e-6,0.505,-0.348,2.62e4,2835,10.809,0.204,209.995,152.592,2.825,0.413,2.203e7,0,113.655,0.358,0.358,0.197,0.018,0.142,2.254e-4,2.744e-4,3.605e-4,0,0,0,0,7.269e-6,0.016,20.32,324.293,81.653,0.042,0.1,3.684,821.174,333.531,0.05,0.236,NaN
7.75,1181.714,135.564,-14.038,137.011,14.053,141.602,0.05,141.602,0.02,19.863,0.64,36,-85.998,9.793,6.714e-4,-1.088e-6,-0.342,-0.507,2.62e4,2835,10.809,0.204,209.989,152.592,2.825,0.411,2.191e7,0,112.346,0.357,0.357,0.197,0.018,0.142,1.093e-4,3.717e-4,-1.854e-4,0,0,0,0,-3.366e-6,0.016,20.32,324.293,81.622,0.041,0.1,3.64,820.486,333.505,0.05,0.237,NaN
7.8,1188.475,134.863,-13.989,136.313,14.004,142.594,0.051,142.594,0.02,19.832,0.633,36,-85.998,9.793,0.001,-2.333e-6,-0.602,0.01,2.62e4,2835,10.809,0.204,209.981,152.592,2.824,0.409,2.179e7,0,111.051,0.357,0.357,0.197,0.018,0.142,2.182e-4,7.851e-4,2.489e-4,0,0,0,0,-1.054e-5,0.016,20.32,324.293,81.592,0.037,0.1,3.596,819.802,333.478,0.05,0.238,NaN
7.85,1195.201,134.165,-13.941,135.618,13.955,143.585,0.051,143.585,0.02,19.8,0.629,36,-85.998,9.793,0.001,-2.524e-6,-0.542,0.265,2.62e4,2835,10.809,0.204,209.975,152.592,2.824,0.407,2.166e7,0,109.771,0.357,0.357,0.197,0.018,0.142,2.132e-4,8.122e-4,5.102e-5,0,0,0,0,-8.644e-6,0.016,20.32,324.293,81.562,0.033,0.1,3.552,819.121,333.451,0.05,0.239,NaN
7.9,1201.891,133.469,-13.892,134.925,13.906,144.574,0.052,144.574,0.021,19.769,0.625,36,-85.998,9.793,0.001,-4.116e-6,-0.289,0.515,2.62e4,2835,10.809,0.204,209.968,152.592,2.824,0.405,2.154e7,0,108.504,0.357,0.357,0.197,0.018,0.141,1.919e-4,5.057e-4,-2.953e-4,0,0,0,0,-2.473e-6,0.016,20.32,324.293,81.532,0.031,0.1,3.509,818.444,333.425,0.05,0.24,NaN
7.95,1208.548,132.776,-13.844,134.235,13.858,145.562,0.053,145.562,0.021,19.738,0.621,36,-85.998,9.793,9.518e-4,-2.73e-6,0.276,0.527,2.62e4,2835,10.809,0.204,209.962,152.592,2.823,0.403,2.142e7,0,107.251,0.356,0.356,0.198,0.018,0.141,1.549e-4,8.293e-4,-1.524e-4,0,0,0,0,2.289e-6,0.016,20.32,324.293,81.503,0.031,0.1,3.465,817.77,333.399,0.05,0.241,NaN
8,1215.169,132.085,-13.797,133.547,13.811,146.548,0.053,146.548,0.021,19.707,0.618,36,-85.998,9.793,0.001,-4.47e-6,0.53,0.255,2.62e4,2835,10.809,0.204,209.955,152.592,2.823,0.401,2.13e7,0,106.012,0.356,0.356,0.198,0.018,0.141,2.401e-4,3.42e-4,-1.712e-4,0,0,0,0,8.508e-6,0.016,20.32,324.293,81.473,0.034,0.1,3.422,817.1,333.373,0.05,0.242,NaN
8.05,1221.756,131.396,-13.75,132.861,13.764,147.533,0.054,147.533,0.021,19.676,0.614,36,-85.998,9.793,0.002,-4.349e-6,0.606,0.069,2.62e4,2835,10.809,0.204,209.947,152.592,2.823,0.399,2.118e7,0,104.786,0.356,0.356,0.198,0.018,0.141,3.427e-4,0.001,-4.808e-4,0,0,0,0,1.126e-5,0.016,20.32,324.293,81.443,0.037,0.1,3.379,816.433,333.347,0.05,0.243,NaN
8.1,1228.309,130.71,-13.704,132.178,13.717,148.516,0.055,148.516,0.021,19.645,0.61,36,-85.998,9.793,0.003,-1.646e-6,0.621,-0.031,2.62e4,2835,10.809,0.204,209.94,152.592,2.822,0.397,2.106e7,0,103.573,0.356,0.356,0.198,0.018,0.14,4.247e-4,0.001,3.799e-4,0,0,0,0,1.193e-5,0.016,20.32,324.293,81.412,0.039,0.1,3.337,815.77,333.321,0.05,0.244,NaN
8.15,1234.827,130.026,-13.658,131.497,13.672,149.497,0.055,149.497,0.021,19.615,0.605,36,-85.998,9.793,0.002,-4.201e-6,0.64,-0.072,2.62e4,2835,10.809,0.204,209.934,152.592,2.822,0.395,2.094e7,0,102.374,0.355,0.355,0.198,0.018,0.14,3.907e-4,0.001,4.172e-5,0,0,0,0,1.281e-5,0.016,20.32,324.293,81.381,0.04,0.1,3.295,815.11,333.295,0.05,0.245,NaN
8.2,1241.311,129.344,-13.613,130.818,13.627,150.477,0.056,150.477,0.021,19.585,0.6,36,-85.998,9.793,0.002,-4.827e-6,0.636,-0.133,2.62e4,2835,10.809,0.204,209.929,152.592,2.822,0.393,2.082e7,0,101.187,0.355,0.355,0.198,0.017,0.14,3.015e-4,0.001,-1.004e-4,0,0,0,0,1.277e-5,0.016,20.32,324.293,81.348,0.041,0.1,3.252,814.454,333.27,0.05,0.246,NaN
8.25,1247.761,128.664,-13.569,130.142,13.582,151.456,0.057,151.456,0.021,19.555,0.594,36,-85.998,9.793,0.001,-5.669e-6,0.656,-0.135,2.62e4,2835,10.809,0.204,209.923,152.592,2.821,0.391,2.07e7,0,100.013,0.355,0.355,0.198,0.017,0.14,1.998e-4,7.39e-4,4.766e-4,0,0,0,0,1.372e-5,0.015,20.32,324.293,81.316,0.042,0.1,3.21,813.801,333.244,0.05,0.246,NaN
8.3,1254.178,127.987,-13.525,129.468,13.538,152.433,0.057,152.433,0.021,19.525,0.587,36,-85.998,9.793,2.975e-4,-4.699e-6,0,0,2.62e4,2835,10.809,0.204,209.918,152.592,2.821,0.389,2.058e7,0,98.851,0.355,0.355,0.198,0.017,0.14,4.835e-5,-4.912e-5,-4.394e-4,0,0,0,0,0,0.015,20.32,324.293,81.283,0.041,0.1,3.169,813.152,333.219,0.05,0.247,NaN
8.35,1260.56,127.312,-13.481,128.796,13.494,153.408,0.058,153.408,0.022,19.496,0.582,36,-85.998,9.793,4.129e-4,-3.824e-6,0,0,2.62e4,2835,10.809,0.204,209.912,152.592,2.821,0.387,2.046e7,0,97.702,0.354,0.354,0.198,0.017,0.139,6.71e-5,-2.269e-4,3.678e-4,0,0,0,0,0,0.015,20.32,324.293,81.249,0.039,0.1,3.127,812.506,333.194,0.05,0.248,NaN
8.4,1266.909,126.639,-13.438,128.126,13.451,154.382,0.059,154.382,0.022,19.467,0.577,36,-85.998,9.793,7.841e-4,-4.549e-6,-0.401,0.512,2.62e4,2835,10.809,0.204,209.905,152.592,2.821,0.385,2.035e7,0,96.566,0.354,0.354,0.198,0.017,0.139,1.274e-4,-8.956e-5,2.376e-4,0,0,0,0,-5.301e-6,0.015,20.32,324.293,81.216,0.036,0.1,3.086,811.863,333.169,0.05,0.249,NaN
8.45,1273.224,125.968,-13.395,127.459,13.408,155.355,0.059,155.355,0.022,19.438,0.573,36,-85.998,9.793,7.156e-4,-2.368e-6,-0.058,0.651,2.62e4,2835,10.809,0.204,209.9,152.592,2.82,0.383,2.023e7,0,95.441,0.354,0.354,0.198,0.017,0.139,1.162e-4,-8.222e-5,-3.886e-4,0,0,0,0,-1.134e-7,0.015,20.32,324.293,81.183,0.035,0.1,3.045,811.224,333.144,0.05,0.25,NaN
8.5,1279.506,125.299,-13.353,126.794,13.365,156.326,0.06,156.326,0.022,19.41,0.57,36,-85.998,9.793,0.001,-2.365e-6,0.461,0.473,2.62e4,2835,10.809,0.204,209.893,152.592,2.82,0.381,2.011e7,0,94.328,0.354,0.354,0.198,0.017,0.139,1.941e-4,7.437e-4,3.007e-4,0,0,0,0,7.149e-6,0.015,20.32,324.293,81.151,0.034,0.1,3.004,810.588,333.119,0.05,0.251,NaN
8.55,1285.754,124.633,-13.311,126.131,13.323,157.296,0.061,157.296,0.022,19.381,0.567,36,-85.998,9.793,0.002,-3.104e-6,0.576,0.329,2.62e4,2835,10.809,0.204,209.886,152.592,2.82,0.379,2e7,0,93.227,0.354,0.354,0.198,0.017,0.139,2.683e-4,6.599e-4,2.977e-4,0,0,0,0,1.126e-5,0.015,20.32,324.293,81.117,0.035,0.1,2.964,809.956,333.095,0.05,0.251,NaN
8.6,1291.969,123.968,-13.269,125.47,13.281,158.264,0.061,158.264,0.022,19.353,0.563,36,-85.998,9.792,0.002,-3.817e-6,0.647,0.174,2.62e4,2835,10.809,0.204,209.88,152.592,2.819,0.377,1.988e7,0,92.138,0.353,0.353,0.198,0.017,0.138,3.327e-4,6.905e-4,-3.683e-4,0,0,0,0,1.439e-5,0.015,20.32,324.293,81.084,0.037,0.1,2.923,809.327,333.07,0.05,0.252,NaN
8.65,1298.151,123.306,-13.228,124.811,13.24,159.231,0.062,159.231,0.022,19.325,0.559,36,-85.998,9.792,0.003,-2.681e-6,0.681,0.051,2.62e4,2835,10.809,0.204,209.873,152.592,2.819,0.375,1.977e7,0,91.06,0.353,0.353,0.198,0.017,0.138,4.092e-4,0.002,2.671e-5,0,0,0,0,1.611e-5,0.015,20.32,324.293,81.05,0.039,0.1,2.883,808.701,333.046,0.05,0.253,NaN
8.7,1304.3,122.645,-13.187,124.154,13.199,160.197,0.063,160.197,0.022,19.297,0.555,36,-85.998,9.792,0.002,-3.486e-6,0.703,-0.082,2.62e4,2835,10.809,0.204,209.868,152.592,2.819,0.373,1.965e7,0,89.993,0.353,0.353,0.198,0.017,0.138,3.995e-4,8.575e-4,3.627e-4,0,0,0,0,1.732e-5,0.015,20.32,324.293,81.015,0.042,0.1,2.843,808.078,333.022,0.05,0.254,NaN
8.75,1310.415,121.987,-13.147,123.499,13.159,161.161,0.063,161.161,0.023,19.27,0.55,36,-85.998,9.792,0.002,-4.581e-6,0.687,-0.23,2.62e4,2835,10.809,0.204,209.863,152.592,2.818,0.371,1.954e7,0,88.938,0.353,0.353,0.198,0.017,0.138,3.143e-4,8.365e-4,1.954e-4,0,0,0,0,1.674e-5,0.015,20.32,324.293,80.98,0.046,0.1,2.803,807.459,332.998,0.05,0.255,NaN
8.8,1316.498,121.331,-13.108,122.847,13.119,162.124,0.064,162.124,0.023,19.242,0.544,36,-85.998,9.792,0.001,-5.92e-6,0.572,-0.445,2.62e4,2835,10.809,0.204,209.858,152.592,2.818,0.369,1.943e7,0,87.894,0.352,0.352,0.198,0.017,0.138,1.969e-4,2.867e-4,-1.622e-4,0,0,0,0,1.173e-5,0.015,20.32,324.293,80.943,0.047,0.1,2.764,806.844,332.974,0.05,0.256,NaN
8.85,1322.549,120.676,-13.069,122.196,13.08,163.085,0.065,163.085,0.023,19.215,0.539,36,-85.998,9.792,7.879e-4,-2.732e-6,0.311,-0.653,2.62e4,2835,10.809,0.204,209.853,152.592,2.818,0.367,1.932e7,0,86.86,0.352,0.352,0.198,0.017,0.138,1.279e-4,1.378e-4,-2.419e-4,0,0,0,0,3.503e-6,0.015,20.32,324.293,80.907,0.046,0.1,2.724,806.231,332.95,0.05,0.256,NaN
8.9,1328.566,120.024,-13.03,121.548,13.041,164.045,0.065,164.045,0.023,19.188,0.534,36,-85.998,9.792,3.291e-4,-2.241e-6,0,0,2.62e4,2835,10.809,0.204,209.848,152.592,2.818,0.365,1.92e7,0,85.837,0.352,0.352,0.198,0.017,0.137,5.339e-5,-5.508e-5,2.97e-4,0,0,0,0,0,0.014,20.32,324.293,80.871,0.044,0.1,2.685,805.622,332.926,0.05,0.257,NaN
8.95,1334.551,119.373,-12.992,120.901,13.002,165.004,0.066,165.004,0.023,19.162,0.53,36,-85.998,9.792,1.178e-4,-3.863e-6,0,0,2.62e4,2835,10.809,0.204,209.843,152.592,2.817,0.363,1.909e7,0,84.825,0.352,0.352,0.198,0.017,0.137,1.911e-5,-3.586e-6,-4.066e-5,0,0,0,0,0,0.014,20.32,324.293,80.834,0.042,0.1,2.646,805.017,332.903,0.05,0.258,NaN
9,1340.503,118.724,-12.953,120.257,12.964,165.961,0.067,165.961,0.023,19.135,0.526,36,-85.998,9.792,5.53e-4,-5.209e-6,0.343,0.648,2.62e4,2835,10.809,0.204,209.837,152.592,2.817,0.361,1.898e7,0,83.824,0.352,0.352,0.198,0.017,0.137,8.969e-5,3.256e-4,-2.17e-4,0,0,0,0,4.403e-6,0.014,20.32,324.293,80.797,0.04,0.1,2.608,804.414,332.879,0.05,0.259,NaN
9.05,1346.423,118.078,-12.916,119.614,12.926,166.918,0.068,166.918,0.023,19.109,0.523,36,-85.998,9.792,9.229e-4,-3.336e-6,0.55,0.487,2.62e4,2835,10.809,0.204,209.831,152.592,2.817,0.359,1.887e7,0,82.833,0.351,0.351,0.198,0.017,0.137,1.497e-4,8.139e-4,-4.604e-4,0,0,0,0,1.144e-5,0.014,20.32,324.293,80.761,0.039,0.1,2.569,803.815,332.856,0.05,0.259,NaN
9.1,1352.311,117.433,-12.878,118.973,12.889,167.872,0.068,167.872,0.023,19.083,0.519,36,-85.998,9.792,0.001,-1.457e-6,0.669,0.308,2.62e4,2835,10.809,0.204,209.825,152.592,2.817,0.358,1.876e7,0,81.852,0.351,0.351,0.198,0.016,0.137,2.37e-4,0.001,-2.293e-4,0,0,0,0,1.711e-5,0.014,20.32,324.293,80.724,0.039,0.1,2.531,803.219,332.833,0.05,0.26,NaN
