# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
48.74,1.438e4,21.548,-9.765,21.562,9.765,-13.625,0.15,13.626,179.367,0.79,0.001,28.61,-80.6,9.748,0.554,-1.034e-6,0.266,0.001,4.306e4,3.79,47.962,0.408,295.041,260.744,1.688,0.073,1.24e6,0,0.739,0.459,0.459,0.339,0.014,0.106,0.097,0.164,2.148e-4,0,0,0,0,3.659e-4,0.003,20.32,324.293,88.72,179.846,0.1,-56.5,132.823,297.06,0.05,0.92
48.79,1.439e4,21.06,-9.764,21.074,9.764,-13.665,0.151,13.665,179.369,0.79,0.001,28.61,-80.6,9.748,0.583,-1.035e-6,0.269,0.001,4.306e4,3.79,47.962,0.408,294.952,260.744,1.683,0.071,1.212e6,0,0.708,0.46,0.461,0.341,0.013,0.106,0.103,0.172,4.421e-4,0,0,0,0,3.924e-4,0.003,20.32,324.293,88.707,179.845,0.1,-56.5,132.8,297.06,0.05,0.92
48.84,1.439e4,20.571,-9.764,20.587,9.764,-13.704,0.151,13.705,179.37,0.79,0.001,28.61,-80.6,9.748,0.614,-1.033e-6,0.272,0.001,4.306e4,3.79,47.962,0.408,294.857,260.744,1.679,0.069,1.183e6,0,0.678,0.462,0.462,0.342,0.013,0.106,0.108,0.181,-4.78e-5,0,0,0,0,4.21e-4,0.003,20.32,324.293,88.693,179.843,0.1,-56.5,132.778,297.06,0.05,0.921
48.89,1.439e4,20.083,-9.763,20.099,9.763,-13.744,0.151,13.744,179.372,0.79,0.001,28.61,-80.6,9.748,0.647,-1.033e-6,0.275,0.001,4.306e4,3.79,47.962,0.408,294.757,260.744,1.674,0.068,1.155e6,0,0.649,0.463,0.464,0.344,0.013,0.106,0.114,0.19,-9.337e-5,0,0,0,0,4.523e-4,0.003,20.32,324.293,88.68,179.842,0.1,-56.5,132.756,297.06,0.05,0.921
48.94,1.439e4,19.595,-9.762,19.611,9.762,-13.783,0.151,13.784,179.374,0.79,0.002,28.61,-80.6,9.748,0.681,-1.034e-6,0.278,0.001,4.306e4,3.79,47.962,0.408,294.65,260.744,1.669,0.066,1.127e6,0,0.62,0.465,0.466,0.346,0.013,0.106,0.12,0.2,4.743e-4,0,0,0,0,4.863e-4,0.003,20.32,324.293,88.666,179.841,0.1,-56.5,132.735,297.06,0.05,0.922
48.99,1.439e4,19.107,-9.762,19.123,9.762,-13.823,0.151,13.823,179.375,0.79,0.002,28.61,-80.6,9.748,0.719,-1.035e-6,0.282,0.001,4.306e4,3.79,47.962,0.408,294.537,260.744,1.663,0.064,1.099e6,0,0.591,0.467,0.468,0.347,0.013,0.106,0.127,0.211,-4.926e-4,0,0,0,0,5.234e-4,0.002,20.32,324.293,88.652,179.84,0.1,-56.5,132.714,297.06,0.05,0.922
49.04,1.439e4,18.619,-9.761,18.636,9.761,-13.862,0.151,13.863,179.377,0.789,0.002,28.61,-80.6,9.748,0.758,-1.034e-6,0.285,0.001,4.306e4,3.79,47.962,0.408,294.417,260.744,1.657,0.063,1.071e6,0,0.564,0.469,0.469,0.349,0.013,0.106,0.134,0.222,-2.322e-4,0,0,0,0,5.638e-4,0.002,20.32,324.293,88.638,179.839,0.1,-56.5,132.694,297.06,0.05,0.923
49.09,1.439e4,18.131,-9.76,18.148,9.76,-13.901,0.151,13.902,179.378,0.789,0.002,28.61,-80.6,9.748,0.801,-1.034e-6,0.288,0.001,4.306e4,3.79,47.962,0.408,294.289,260.744,1.651,0.061,1.042e6,0,0.537,0.47,0.471,0.351,0.013,0.106,0.142,0.234,1.316e-4,0,0,0,0,6.082e-4,0.002,20.32,324.293,88.623,179.838,0.1,-56.5,132.675,297.06,0.05,0.923
49.14,1.439e4,17.643,-9.76,17.661,9.76,-13.941,0.151,13.942,179.38,0.789,0.002,28.61,-80.6,9.748,0.846,-1.034e-6,0.291,0.001,4.306e4,3.79,47.962,0.408,294.152,260.744,1.644,0.059,1.014e6,0,0.51,0.472,0.473,0.353,0.013,0.106,0.15,0.247,4.451e-4,0,0,0,0,6.567e-4,0.002,20.32,324.293,88.609,179.837,0.1,-56.5,132.656,297.06,0.05,0.924
49.19,1.439e4,17.155,-9.759,17.173,9.759,-13.98,0.151,13.981,179.381,0.789,0.002,28.61,-80.6,9.748,0.895,-1.035e-6,0.295,0.001,4.306e4,3.79,47.962,0.408,294.007,260.744,1.637,0.058,9.86e5,0,0.485,0.474,0.475,0.355,0.013,0.106,0.159,0.261,-3.994e-5,0,0,0,0,7.1e-4,0.002,20.32,324.293,88.594,179.836,0.1,-56.5,132.637,297.06,0.05,0.924
49.24,1.439e4,16.667,-9.759,16.686,9.759,-14.02,0.151,14.021,179.382,0.789,0.002,28.61,-80.6,9.748,0.947,-1.034e-6,0.298,0.001,4.306e4,3.79,47.962,0.408,293.852,260.744,1.629,0.056,9.579e5,0,0.459,0.476,0.478,0.357,0.013,0.106,0.169,0.275,-4.776e-4,0,0,0,0,7.686e-4,0.002,20.32,324.293,88.579,179.835,0.1,-56.5,132.619,297.06,0.05,0.925
49.29,1.439e4,16.179,-9.758,16.198,9.758,-14.059,0.151,14.06,179.384,0.789,0.002,28.61,-80.6,9.748,1.003,-1.034e-6,0.301,0.001,4.306e4,3.79,47.962,0.408,293.686,260.744,1.621,0.055,9.298e5,0,0.435,0.478,0.48,0.359,0.013,0.106,0.179,0.29,-5.849e-5,0,0,0,0,8.332e-4,0.002,20.32,324.293,88.564,179.834,0.1,-56.5,132.601,297.06,0.05,0.925
49.34,1.44e4,15.691,-9.757,15.711,9.757,-14.099,0.151,14.1,179.385,0.789,0.002,28.61,-80.6,9.748,1.063,-1.034e-6,0.304,0.001,4.306e4,3.79,47.962,0.408,293.508,260.744,1.612,0.053,9.017e5,0,0.411,0.481,0.482,0.361,0.013,0.106,0.191,0.307,2.154e-4,0,0,0,0,9.045e-4,0.002,20.32,324.293,88.549,179.833,0.1,-56.5,132.584,297.06,0.05,0.926
49.39,1.44e4,15.203,-9.757,15.224,9.757,-14.138,0.151,14.139,179.387,0.789,0.002,28.61,-80.6,9.748,1.128,-1.033e-6,0.307,0.001,4.306e4,3.79,47.962,0.408,293.318,260.744,1.603,0.051,8.736e5,0,0.388,0.483,0.485,0.364,0.013,0.106,0.203,0.324,-4.633e-4,0,0,0,0,9.835e-4,0.002,20.32,324.293,88.534,179.832,0.1,-56.5,132.568,297.06,0.05,0.926
49.44,1.44e4,14.716,-9.756,14.737,9.756,-14.178,0.151,14.178,179.388,0.789,0.002,28.61,-80.6,9.748,1.198,-1.034e-6,0.311,0.001,4.306e4,3.79,47.962,0.408,293.114,260.744,1.593,0.05,8.455e5,0,0.365,0.485,0.487,0.366,0.013,0.106,0.216,0.343,2.567e-4,0,0,0,0,0.001,0.002,20.32,324.293,88.519,179.831,0.1,-56.5,132.552,297.06,0.05,0.927
49.49,1.44e4,14.228,-9.756,14.25,9.756,-14.217,0.151,14.218,179.39,0.789,0.002,28.61,-80.6,9.748,1.274,-1.035e-6,0.314,0.001,4.306e4,3.79,47.962,0.408,292.895,260.744,1.582,0.048,8.175e5,0,0.344,0.488,0.49,0.369,0.013,0.106,0.23,0.364,2.321e-4,0,0,0,0,0.001,0.002,20.32,324.293,88.503,179.83,0.1,-56.5,132.536,297.06,0.05,0.927
49.54,1.44e4,13.74,-9.755,13.763,9.755,-14.256,0.152,14.257,179.391,0.788,0.002,28.61,-80.6,9.748,1.356,-1.035e-6,0.317,0.001,4.306e4,3.79,47.962,0.408,292.659,260.744,1.571,0.046,7.894e5,0,0.322,0.49,0.493,0.371,0.013,0.106,0.246,0.385,2.309e-4,0,0,0,0,0.001,0.002,20.32,324.293,88.487,179.83,0.1,-56.5,132.521,297.06,0.05,0.928
49.59,1.44e4,13.252,-9.755,13.276,9.755,-14.296,0.152,14.297,179.393,0.788,0.002,28.61,-80.6,9.748,1.445,-1.034e-6,0.32,0.001,4.306e4,3.79,47.962,0.408,292.405,260.744,1.558,0.045,7.614e5,0,0.302,0.493,0.496,0.374,0.013,0.106,0.263,0.409,3.229e-4,0,0,0,0,0.001,0.002,20.32,324.293,88.471,179.829,0.1,-56.5,132.507,297.06,0.05,0.928
49.64,1.44e4,12.764,-9.754,12.789,9.754,-14.335,0.152,14.336,179.394,0.788,0.002,28.61,-80.6,9.748,1.542,-1.034e-6,0.323,0.001,4.306e4,3.79,47.962,0.408,292.13,260.744,1.545,0.043,7.334e5,0,0.282,0.496,0.499,0.377,0.013,0.106,0.282,0.433,4.303e-4,0,0,0,0,0.002,0.002,20.32,324.293,88.455,179.828,0.1,-56.5,132.493,297.06,0.05,0.929
49.69,1.44e4,12.277,-9.754,12.302,9.754,-14.375,0.152,14.376,179.395,0.788,0.002,28.61,-80.6,9.748,1.647,-1.035e-6,0.326,0.001,4.306e4,3.79,47.962,0.408,291.833,260.744,1.53,0.041,7.054e5,0,0.263,0.499,0.503,0.38,0.013,0.106,0.302,0.46,4.656e-4,0,0,0,0,0.002,0.002,20.32,324.293,88.439,179.828,0.1,-56.5,132.48,297.06,0.05,0.929
49.74,1.44e4,11.789,-9.754,11.815,9.754,-14.414,0.152,14.415,179.397,0.788,0.002,28.61,-80.6,9.748,1.763,-1.035e-6,0.329,0.001,4.306e4,3.79,47.962,0.408,291.512,260.744,1.514,0.04,6.774e5,0,0.244,0.502,0.507,0.383,0.013,0.106,0.325,0.49,-2.702e-4,0,0,0,0,0.002,0.002,20.32,324.293,88.423,179.827,0.1,-56.5,132.467,297.06,0.05,0.93
49.79,1.44e4,11.301,-9.753,11.329,9.753,-14.454,0.152,14.454,179.398,0.788,0.002,28.61,-80.6,9.748,1.889,-1.034e-6,0.331,0.001,4.306e4,3.79,47.962,0.408,291.162,260.744,1.497,0.038,6.494e5,0,0.226,0.505,0.511,0.386,0.013,0.106,0.35,0.522,-4.998e-4,0,0,0,0,0.002,0.001,20.32,324.293,88.406,179.826,0.1,-56.5,132.454,297.06,0.05,0.93
49.84,1.44e4,10.814,-9.753,10.842,9.753,-14.493,0.152,14.494,179.4,0.788,0.002,28.61,-80.6,9.748,2.029,-1.034e-6,0.334,0.001,4.306e4,3.79,47.962,0.408,290.782,260.744,1.478,0.036,6.214e5,0,0.209,0.509,0.515,0.39,0.013,0.106,0.378,0.556,-1.905e-5,0,0,0,0,0.002,0.001,20.32,324.293,88.39,179.826,0.1,-56.5,132.443,297.06,0.05,0.931
49.89,1.44e4,10.326,-9.752,10.356,9.752,-14.532,0.152,14.533,179.401,0.788,0.002,28.61,-80.6,9.748,2.183,-1.034e-6,0.337,0.001,4.306e4,3.79,47.962,0.408,290.367,260.744,1.458,0.035,5.934e5,0,0.192,0.513,0.52,0.394,0.013,0.106,0.409,0.593,4.235e-5,0,0,0,0,0.003,0.001,20.32,324.293,88.373,179.825,0.1,-56.5,132.431,297.06,0.05,0.931
49.94,1.44e4,9.839,-9.752,9.87,9.752,-14.572,0.152,14.572,179.402,0.788,0.002,28.61,-80.6,9.748,2.353,-1.034e-6,0.339,9.97e-4,4.306e4,3.79,47.962,0.408,289.913,260.744,1.435,0.033,5.655e5,0,0.176,0.517,0.525,0.398,0.013,0.106,0.444,0.634,4.266e-4,0,0,0,0,0.003,0.001,20.32,324.293,88.356,179.825,0.1,-56.5,132.42,297.06,0.05,0.932
49.99,1.44e4,9.351,-9.752,9.384,9.752,-14.611,0.152,14.612,179.404,0.787,0.002,28.61,-80.6,9.748,2.543,-1.034e-6,0.342,9.816e-4,4.306e4,3.79,47.962,0.408,289.414,260.744,1.411,0.032,5.376e5,0,0.161,0.521,0.53,0.402,0.013,0.106,0.483,0.679,3.437e-4,0,0,0,0,0.003,0.001,20.32,324.293,88.339,179.824,0.1,-56.5,132.41,297.06,0.05,0.932
50.04,1.44e4,8.863,-9.751,8.898,9.751,-14.65,0.152,14.651,179.405,0.787,0.002,28.61,-80.6,9.748,2.756,-1.034e-6,0.344,9.666e-4,4.306e4,3.79,47.962,0.408,288.866,260.744,1.384,0.03,5.097e5,0,0.146,0.525,0.537,0.407,0.013,0.106,0.527,0.726,-3.66e-4,0,0,0,0,0.004,0.001,20.32,324.293,88.322,179.824,0.1,-56.5,132.4,297.06,0.05,0.933
50.09,1.44e4,8.376,-9.751,8.413,9.751,-14.69,0.152,14.691,179.406,0.787,0.002,28.61,-80.6,9.748,2.995,-1.034e-6,0.347,9.531e-4,4.306e4,3.79,47.962,0.408,288.26,260.744,1.354,0.028,4.818e5,0,0.132,0.53,0.543,0.411,0.013,0.106,0.578,0.779,-7.644e-5,0,0,0,0,0.004,0.001,20.32,324.293,88.304,179.823,0.1,-56.5,132.391,297.06,0.05,0.933
50.14,1.44e4,7.888,-9.751,7.927,9.751,-14.729,0.152,14.73,179.408,0.787,0.002,28.61,-80.6,9.748,3.265,-1.034e-6,0.349,9.386e-4,4.306e4,3.79,47.962,0.408,287.587,260.744,1.321,0.027,4.539e5,0,0.119,0.536,0.551,0.417,0.013,0.106,0.637,0.836,4.477e-4,0,0,0,0,0.005,0.001,20.32,324.293,88.287,179.823,0.1,-56.5,132.383,297.06,0.05,0.934
50.19,1.441e4,7.401,-9.75,7.442,9.75,-14.768,0.152,14.769,179.409,0.787,0.002,28.61,-80.6,9.748,3.573,-1.034e-6,0.351,9.25e-4,4.306e4,3.79,47.962,0.408,286.839,260.744,1.284,0.025,4.26e5,0,0.107,0.541,0.56,0.423,0.013,0.106,0.705,0.9,4.686e-4,0,0,0,0,0.005,9.544e-4,20.32,324.293,88.269,179.822,0.1,-56.5,132.374,297.06,0.05,0.934
50.24,1.441e4,6.913,-9.75,6.958,9.75,-14.808,0.152,14.809,179.41,0.787,0.002,28.61,-80.6,9.748,3.926,-1.034e-6,0.353,9.102e-4,4.306e4,3.79,47.962,0.408,286.001,260.744,1.243,0.023,3.982e5,0,0.095,0.548,0.57,0.429,0.013,0.106,0.784,0.968,4.624e-4,0,0,0,0,0.006,8.925e-4,20.32,324.293,88.252,179.822,0.1,-56.5,132.367,297.06,0.05,0.935
50.29,1.441e4,6.426,-9.75,6.474,9.75,-14.847,0.152,14.848,179.412,0.787,0.002,28.61,-80.6,9.748,4.335,-1.034e-6,0.355,8.96e-4,4.306e4,3.79,47.962,0.408,285.059,260.744,1.197,0.022,3.704e5,0,0.084,0.554,0.581,0.436,0.013,0.106,0.878,1.044,-4.972e-4,0,0,0,0,0.007,8.306e-4,20.32,324.293,88.234,179.821,0.1,-56.5,132.36,297.06,0.05,0.935
50.34,1.441e4,5.938,-9.75,5.99,9.75,-14.887,0.153,14.887,179.413,0.787,0.002,28.61,-80.6,9.748,4.812,-1.034e-6,0.357,8.811e-4,4.306e4,3.79,47.962,0.408,283.994,260.744,1.144,0.02,3.426e5,0,0.073,0.562,0.595,0.443,0.013,0.106,0.991,1.125,-4.85e-4,0,0,0,0,0.009,7.688e-4,20.32,324.293,88.216,179.821,0.1,-56.5,132.353,297.06,0.05,0.936
50.39,1.441e4,5.451,-9.749,5.507,9.749,-14.926,0.153,14.927,179.414,0.787,0.002,28.61,-80.6,9.748,5.377,-1.034e-6,0.359,8.686e-4,4.306e4,3.79,47.962,0.408,282.781,260.744,1.085,0.018,3.148e5,0,0.064,0.57,0.611,0.452,0.013,0.106,1.129,1.214,3.273e-4,0,0,0,0,0.01,7.072e-4,20.32,324.293,88.198,179.82,0.1,-56.5,132.347,297.06,0.05,0.936
50.44,1.441e4,4.963,-9.749,5.025,9.749,-14.965,0.153,14.966,179.416,0.786,0.002,28.61,-80.6,9.748,6.055,-1.034e-6,0.36,8.538e-4,4.306e4,3.79,47.962,0.408,281.392,260.744,1.016,0.017,2.871e5,0,0.055,0.58,0.63,0.461,0.013,0.106,1.301,1.309,-3.04e-4,0,0,0,0,0.012,6.457e-4,20.32,324.293,88.181,179.82,0.1,-56.5,132.341,297.06,0.05,0.937
50.49,1.441e4,4.476,-9.749,4.544,9.749,-15.004,0.153,15.005,179.417,0.786,0.002,28.61,-80.6,9.748,6.88,-1.034e-6,0.361,8.41e-4,4.306e4,3.79,47.962,0.408,279.786,260.744,0.937,0.015,2.595e5,0,0.046,0.591,0.654,0.472,0.013,0.105,1.518,1.408,-2.716e-4,0,0,0,0,0.015,5.843e-4,20.32,324.293,88.162,179.82,0.1,-56.5,132.336,297.06,0.05,0.937
50.54,1.441e4,3.988,-9.749,4.065,9.749,-15.044,0.153,15.045,179.418,0.786,0.002,28.61,-80.6,9.748,7.907,-1.034e-6,0.362,8.279e-4,4.306e4,3.79,47.962,0.408,277.914,260.744,0.845,0.014,2.319e5,0,0.039,0.603,0.684,0.484,0.013,0.105,1.801,1.503,3.809e-4,0,0,0,0,0.019,5.233e-4,20.32,324.293,88.144,179.819,0.1,-56.5,132.332,297.06,0.05,0.938
50.59,1.441e4,3.501,-9.749,3.588,9.749,-15.083,0.153,15.084,179.419,0.786,0.002,28.61,-80.6,9.748,9.215,-1.034e-6,0.363,8.148e-4,4.306e4,3.79,47.962,0.408,275.712,260.744,0.737,0.012,2.044e5,0,0.032,0.618,0.722,0.499,0.013,0.105,2.183,1.583,-4.313e-5,0,0,0,0,0.025,4.626e-4,20.32,324.293,88.126,179.819,0.1,-56.5,132.328,297.06,0.05,0.938
50.64,1.441e4,3.014,-9.748,3.114,9.748,-15.122,0.153,15.123,179.421,0.786,0.002,28.61,-80.6,9.748,10.933,-1.034e-6,0.364,8.018e-4,4.306e4,3.79,47.962,0.408,273.094,260.744,0.608,0.01,1.771e5,0,0.025,0.635,0.77,0.516,0.013,0.105,2.72,1.62,-2.19e-4,0,0,0,0,0.033,4.024e-4,20.32,324.293,88.108,179.819,0.1,-56.5,132.324,297.06,0.05,0.939
50.69,1.441e4,2.526,-9.748,2.646,9.748,-15.162,0.153,15.162,179.422,0.786,0.002,28.61,-80.6,9.748,13.282,-1.034e-6,0.365,7.891e-4,4.306e4,3.79,47.962,0.408,269.952,260.744,0.453,0.009,1.5e5,0,0.02,0.656,0.829,0.537,0.013,0.105,3.517,1.547,4.753e-4,0,0,0,0,0.047,3.431e-4,20.32,324.293,88.09,179.818,0.1,-56.5,132.321,297.06,0.05,0.94
50.74,1.441e4,2.039,-9.748,2.185,9.748,-15.201,0.153,15.202,179.423,0.786,0.002,28.61,-80.6,9.748,16.666,-1.034e-6,0.365,7.765e-4,4.306e4,3.79,47.962,0.408,266.153,260.744,0.266,0.007,1.232e5,0,0.014,0.683,0.887,0.564,0.013,0.105,4.786,1.205,-4.869e-4,0,0,0,0,0.069,2.85e-4,20.32,324.293,88.072,179.818,0.1,-56.5,132.319,297.06,0.05,0.94
50.79,1.441e4,1.551,-9.748,1.739,9.748,-15.24,0.153,15.241,179.424,0.786,0.001,28.61,-80.6,9.748,21.903,-1.034e-6,0.365,7.643e-4,4.306e4,3.79,47.962,0.408,261.579,260.744,0.041,0.006,9.718e4,0,0.009,0.718,0.91,0.599,0.013,0.105,6.745,-1.084,-2.412e-5,0,0,0,0,0.112,2.292e-4,20.32,324.293,88.053,179.818,0.1,-56.5,132.317,297.06,0.05,0.941
50.84,1.441e4,1.064,-9.748,1.323,9.748,-15.28,0.153,15.28,179.426,0.786,0.001,28.61,-80.6,9.748,30.839,-1.034e-6,0.365,7.523e-4,4.306e4,3.79,47.962,0.408,256.312,260.744,-0.218,0.004,7.252e4,0,0.005,0.766,0.831,0.647,0.013,0.105,9.894,-9.87,-3.101e-4,0,0,0,0,0.2,1.779e-4,20.32,324.293,88.035,179.817,0.1,-56.5,132.316,297.06,0.05,0.941
50.89,1.441e4,0.577,-9.748,0.975,9.748,-15.319,0.153,15.32,179.427,0.786,2.032e-4,28.61,-80.6,9.748,47.96,-1.034e-6,0.364,7.405e-4,4.306e4,3.79,47.962,0.408,301.893,260.744,2.025,0.003,5.133e4,0,0.001,0.83,0.468,0.711,0.013,0.105,4.173,-2.479,1.673e-4,0,0,0,0,0.398,1.363e-4,20.32,324.293,88.017,179.817,0.1,-56.5,132.315,297.06,0.05,0.942
50.94,1.441e4,0.089,-9.748,0.791,9.748,-15.358,0.153,15.359,179.428,0.786,1.739e-4,28.61,-80.6,9.748,80.591,-1.034e-6,0.364,7.29e-4,4.306e4,3.79,47.962,0.408,311.802,260.744,2.513,0.002,3.962e4,0,1.468e-5,0.885,0.009,0.766,0.013,0.105,4.604,-7.756,2.867e-5,0,0,0,0,0.667,1.151e-4,20.32,324.293,87.999,179.817,0.1,-56.5,132.314,297.06,0.05,0.943
50.99,1.441e4,-0.398,-9.748,0.881,9.748,-15.397,0.153,15.398,179.429,0.786,2.789e-4,28.61,-80.6,9.748,118.128,-1.034e-6,0.364,7.178e-4,4.306e4,3.79,47.962,0.408,327.553,260.744,3.288,0.003,4.543e4,0,-3.924e-4,0.855,-0.181,0.736,0.013,0.105,4.423,-5.454,-1.686e-4,0,0,0,0,0.507,1.255e-4,20.32,324.293,87.981,179.816,0.1,-56.5,132.314,297.06,0.05,0.943
51.04,1.441e4,-0.886,-9.748,1.184,9.748,-15.437,0.153,15.438,179.431,0.786,5.16e-4,28.61,-80.6,9.748,140.215,-1.034e-6,0.364,7.067e-4,4.306e4,3.79,47.962,0.408,337.962,260.744,3.8,0.004,6.417e4,0,-0.003,0.788,-0.645,0.669,0.013,0.105,4,-0.243,4.807e-4,0,0,0,0,0.254,1.613e-4,20.32,324.293,87.962,179.816,0.1,-56.5,132.315,297.06,0.05,0.944
51.09,1.441e4,-1.373,-9.748,1.582,9.748,-15.476,0.153,15.477,179.432,0.786,8.734e-4,28.61,-80.6,9.748,151.408,-1.034e-6,0.364,6.959e-4,4.306e4,3.79,47.962,0.408,343.245,260.744,4.06,0.005,8.793e4,0,-0.007,0.734,-0.838,0.615,0.013,0.105,3.719,3.179,-3.51e-4,0,0,0,0,0.135,2.099e-4,20.32,324.293,87.944,179.816,0.1,-56.5,132.316,297.06,0.05,0.945
51.14,1.441e4,-1.86,-9.748,2.019,9.748,-15.515,0.154,15.516,179.433,0.786,0.001,28.61,-80.6,9.748,157.696,-1.034e-6,0.364,6.854e-4,4.306e4,3.79,47.962,0.408,346.151,260.744,4.203,0.007,1.136e5,0,-0.012,0.694,-0.877,0.576,0.013,0.105,3.548,5.26,-1.21e-4,0,0,0,0,0.081,2.644e-4,20.32,324.293,87.926,179.816,0.1,-56.5,132.318,297.06,0.05,0.946
51.19,1.441e4,-2.348,-9.747,2.476,9.747,-15.555,0.154,15.555,179.434,0.786,0.002,28.61,-80.6,9.748,161.631,-1.034e-6,0.366,6.75e-4,4.306e4,3.79,47.962,0.408,347.931,260.744,4.291,0.008,1.401e5,0,-0.018,0.665,-0.863,0.546,0.013,0.105,3.438,6.602,2.96e-4,0,0,0,0,0.054,3.218e-4,20.32,324.293,87.908,179.815,0.1,-56.5,132.32,297.06,0.05,0.947
51.24,1.441e4,-2.835,-9.747,2.942,9.747,-15.594,0.154,15.595,179.435,0.785,0.003,28.61,-80.6,9.748,164.299,-1.034e-6,0.368,6.647e-4,4.306e4,3.79,47.962,0.408,349.116,260.744,4.349,0.01,1.671e5,0,-0.024,0.642,-0.832,0.523,0.013,0.105,3.363,7.524,1.067e-4,0,0,0,0,0.038,3.807e-4,20.32,324.293,87.889,179.815,0.1,-56.5,132.323,297.06,0.05,0.947
51.29,1.441e4,-3.323,-9.747,3.414,9.747,-15.633,0.154,15.634,179.437,0.785,0.003,28.61,-80.6,9.748,166.217,-1.034e-6,0.371,6.546e-4,4.306e4,3.79,47.962,0.408,349.952,260.744,4.39,0.011,1.944e5,0,-0.031,0.624,-0.793,0.505,0.013,0.105,3.309,8.192,3.08e-4,0,0,0,0,0.029,4.406e-4,20.32,324.293,87.871,179.815,0.1,-56.5,132.326,297.06,0.05,0.948
51.34,1.441e4,-3.81,-9.747,3.89,9.747,-15.672,0.154,15.673,179.438,0.785,0.004,28.61,-80.6,9.748,167.659,-1.034e-6,0.376,6.449e-4,4.306e4,3.79,47.962,0.408,350.57,260.744,4.421,0.013,2.218e5,0,-0.039,0.608,-0.757,0.489,0.013,0.105,3.269,8.693,2.841e-4,0,0,0,0,0.023,5.011e-4,20.32,324.293,87.852,179.814,0.1,-56.5,132.33,297.06,0.05,0.948
51.39,1.441e4,-4.297,-9.747,4.368,9.747,-15.712,0.154,15.712,179.439,0.785,0.005,28.61,-80.6,9.748,168.779,-1.034e-6,0.382,6.348e-4,4.306e4,3.79,47.962,0.408,351.042,260.744,4.444,0.015,2.493e5,0,-0.047,0.595,-0.726,0.476,0.013,0.105,3.239,9.084,2.153e-4,0,0,0,0,0.019,5.621e-4,20.32,324.293,87.833,179.814,0.1,-56.5,132.335,297.06,0.05,0.949
51.44,1.441e4,-4.785,-9.746,4.848,9.746,-15.751,0.154,15.752,179.44,0.785,0.007,28.61,-80.6,9.748,169.672,-1.034e-6,0.39,6.244e-4,4.306e4,3.79,47.962,0.408,351.411,260.744,4.462,0.016,2.77e5,0,-0.056,0.584,-0.699,0.465,0.013,0.105,3.216,9.394,4.759e-4,0,0,0,0,0.016,6.233e-4,20.32,324.293,87.814,179.814,0.1,-56.5,132.339,297.06,0.05,0.949
51.49,1.441e4,-5.272,-9.746,5.33,9.746,-15.79,0.154,15.791,179.441,0.784,0.008,28.61,-80.6,9.748,170.4,-1.034e-6,0.4,6.145e-4,4.306e4,3.79,47.962,0.408,351.706,260.744,4.476,0.018,3.046e5,0,-0.066,0.574,-0.677,0.455,0.013,0.106,3.198,9.644,4.469e-4,0,0,0,0,0.014,6.847e-4,20.32,324.293,87.794,179.814,0.1,-56.5,132.345,297.06,0.05,0.95
51.54,1.441e4,-5.759,-9.746,5.812,9.746,-15.829,0.154,15.83,179.443,0.784,0.009,28.61,-80.6,9.748,171.004,-1.034e-6,0.413,6.039e-4,4.306e4,3.79,47.962,0.408,351.946,260.744,4.488,0.02,3.324e5,0,-0.076,0.565,-0.657,0.446,0.013,0.106,3.183,9.852,4.175e-4,0,0,0,0,0.012,7.463e-4,20.32,324.293,87.774,179.814,0.1,-56.5,132.351,297.06,0.05,0.95
51.59,1.441e4,-6.246,-9.746,6.295,9.746,-15.868,0.154,15.869,179.444,0.783,0.011,28.61,-80.6,9.748,171.511,-1.034e-6,0.428,5.938e-4,4.306e4,3.79,47.962,0.408,352.142,260.744,4.498,0.021,3.601e5,0,-0.087,0.557,-0.641,0.438,0.013,0.106,3.172,10.025,-4.956e-4,0,0,0,0,0.011,8.08e-4,20.32,324.293,87.753,179.813,0.1,-56.5,132.357,297.06,0.05,0.951
